Year,Series,Renewable and waste source,Observation status,Unit multiplier,Units,Value
1990,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),0.7000000000000001
1991,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),0.7000000000000001
1992,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),0.7000000000000001
1993,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),0.8
1994,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),1.0
1995,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),1.1
1996,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),1.1
1997,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),1.2
1998,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),1.2
1999,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),1.3
2000,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),1.4
2001,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),1.4
2002,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),1.6
2003,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),1.7000000000000002
2004,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),1.9
2005,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),2.1
2006,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),2.3
2007,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),2.5
2008,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),3.0
2009,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),3.6
2010,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),3.9
2011,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),4.5
2012,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),4.9
2013,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),5.800000000000001
2014,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),7.199999999999999
2015,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),8.5
2016,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),9.0
2017,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),10.1
2018,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),11.2
2019,Renewable energy share in the total final energy consumption,,Normal value,Units,Percentage (%),12.5
1990,Renewable energy share in the total final energy consumption,Bioethanol,Normal value,Units,Percentage (%),0.0
1990,Renewable energy share in the total final energy consumption,Biodiesel,Normal value,Units,Percentage (%),0.0
1990,Renewable energy share in the total final energy consumption,Biogas from autogen,Normal value,Units,Percentage (%),0.0
1990,Renewable energy share in the total final energy consumption,Biomass,Normal value,Units,Percentage (%),0.028936473311668
1990,Renewable energy share in the total final energy consumption,Charcoal,Normal value,Units,Percentage (%),0.0173618839870008
1990,Renewable energy share in the total final energy consumption,Cross-boundary Adjustment,Normal value,Units,Percentage (%),0.0
1990,Renewable energy share in the total final energy consumption,Geothermal aquifers,Normal value,Units,Percentage (%),0.0004451765124872
1990,Renewable energy share in the total final energy consumption,Hydroelectric power,Normal value,Units,Percentage (%),0.1994390775942661
1990,Renewable energy share in the total final energy consumption,Landfill gas,Normal value,Units,Percentage (%),0.035614120998976
1990,Renewable energy share in the total final energy consumption,Liquid bio-fuels,Normal value,Units,Percentage (%),0.0
1990,Renewable energy share in the total final energy consumption,Municipal solid waste (MSW),Normal value,Units,Percentage (%),0.0814673017851578
1990,Renewable energy share in the total final energy consumption,Poultry litter,Normal value,Units,Percentage (%),0.0
1990,Renewable energy share in the total final energy consumption,Sewage gas,Normal value,Units,Percentage (%),0.0614343587232337
1990,Renewable energy share in the total final energy consumption,Solar photovoltaic,Normal value,Units,Percentage (%),0.0
1990,Renewable energy share in the total final energy consumption,Straw,Normal value,Units,Percentage (%),0.0031162355874104
1990,Renewable energy share in the total final energy consumption,"Wind, wave, tidal",Normal value,Units,Percentage (%),0.0004451765124872
1990,Renewable energy share in the total final energy consumption,Wood,Normal value,Units,Percentage (%),0.2408404932555758
1991,Renewable energy share in the total final energy consumption,Hydroelectric power,Normal value,Units,Percentage (%),0.1725909897095874
1991,Renewable energy share in the total final energy consumption,"Wind, wave, tidal",Normal value,Units,Percentage (%),0.0004336457027879
1991,Renewable energy share in the total final energy consumption,Solar photovoltaic,Normal value,Units,Percentage (%),0.0
1991,Renewable energy share in the total final energy consumption,Geothermal aquifers,Normal value,Units,Percentage (%),0.0004336457027879
1991,Renewable energy share in the total final energy consumption,Landfill gas,Normal value,Units,Percentage (%),0.0455327987927303
1991,Renewable energy share in the total final energy consumption,Sewage gas,Normal value,Units,Percentage (%),0.0654805011209741
1991,Renewable energy share in the total final energy consumption,Biogas from autogen,Normal value,Units,Percentage (%),0.0
1991,Renewable energy share in the total final energy consumption,Municipal solid waste (MSW),Normal value,Units,Percentage (%),0.080224455015763
1991,Renewable energy share in the total final energy consumption,Poultry litter,Normal value,Units,Percentage (%),0.0
1991,Renewable energy share in the total final energy consumption,Straw,Normal value,Units,Percentage (%),0.0030355199195153
1991,Renewable energy share in the total final energy consumption,Wood,Normal value,Units,Percentage (%),0.2471780505891076
1991,Renewable energy share in the total final energy consumption,Charcoal,Normal value,Units,Percentage (%),0.0156112453003646
1991,Renewable energy share in the total final energy consumption,Liquid bio-fuels,Normal value,Units,Percentage (%),0.0
1991,Renewable energy share in the total final energy consumption,Bioethanol,Normal value,Units,Percentage (%),0.0
1991,Renewable energy share in the total final energy consumption,Biodiesel,Normal value,Units,Percentage (%),0.0
1991,Renewable energy share in the total final energy consumption,Biomass,Normal value,Units,Percentage (%),0.028186970681214
1991,Renewable energy share in the total final energy consumption,Cross-boundary Adjustment,Normal value,Units,Percentage (%),0.0
1992,Renewable energy share in the total final energy consumption,Hydroelectric power,Normal value,Units,Percentage (%),0.2048919600745859
1992,Renewable energy share in the total final energy consumption,"Wind, wave, tidal",Normal value,Units,Percentage (%),0.0013162224415926
1992,Renewable energy share in the total final energy consumption,Solar photovoltaic,Normal value,Units,Percentage (%),0.0
1992,Renewable energy share in the total final energy consumption,Geothermal aquifers,Normal value,Units,Percentage (%),0.0004387408138642
1992,Renewable energy share in the total final energy consumption,Landfill gas,Normal value,Units,Percentage (%),0.0680048261489525
1992,Renewable energy share in the total final energy consumption,Sewage gas,Normal value,Units,Percentage (%),0.0662498628934956
1992,Renewable energy share in the total final energy consumption,Biogas from autogen,Normal value,Units,Percentage (%),0.0
1992,Renewable energy share in the total final energy consumption,Municipal solid waste (MSW),Normal value,Units,Percentage (%),0.092135570911484
1992,Renewable energy share in the total final energy consumption,Poultry litter,Normal value,Units,Percentage (%),0.0070198530218273
1992,Renewable energy share in the total final energy consumption,Straw,Normal value,Units,Percentage (%),0.0030711856970494
1992,Renewable energy share in the total final energy consumption,Wood,Normal value,Units,Percentage (%),0.2518372271580563
1992,Renewable energy share in the total final energy consumption,Charcoal,Normal value,Units,Percentage (%),0.0144784468575189
1992,Renewable energy share in the total final energy consumption,Liquid bio-fuels,Normal value,Units,Percentage (%),0.0
1992,Renewable energy share in the total final energy consumption,Bioethanol,Normal value,Units,Percentage (%),0.0
1992,Renewable energy share in the total final energy consumption,Biodiesel,Normal value,Units,Percentage (%),0.0
1992,Renewable energy share in the total final energy consumption,Biomass,Normal value,Units,Percentage (%),0.0285181529011736
1992,Renewable energy share in the total final energy consumption,Cross-boundary Adjustment,Normal value,Units,Percentage (%),0.0
1993,Renewable energy share in the total final energy consumption,Hydroelectric power,Normal value,Units,Percentage (%),0.1604760500338301
1993,Renewable energy share in the total final energy consumption,"Wind, wave, tidal",Normal value,Units,Percentage (%),0.0082406620287642
1993,Renewable energy share in the total final energy consumption,Solar photovoltaic,Normal value,Units,Percentage (%),0.0
1993,Renewable energy share in the total final energy consumption,Geothermal aquifers,Normal value,Units,Percentage (%),0.0004337190541454
1993,Renewable energy share in the total final energy consumption,Landfill gas,Normal value,Units,Percentage (%),0.0702624867715688
1993,Renewable energy share in the total final energy consumption,Sewage gas,Normal value,Units,Percentage (%),0.0685276105549869
1993,Renewable energy share in the total final energy consumption,Biogas from autogen,Normal value,Units,Percentage (%),0.0
1993,Renewable energy share in the total final energy consumption,Municipal solid waste (MSW),Normal value,Units,Percentage (%),0.1162367065109904
1993,Renewable energy share in the total final energy consumption,Poultry litter,Normal value,Units,Percentage (%),0.0186499193282559
1993,Renewable energy share in the total final energy consumption,Straw,Normal value,Units,Percentage (%),0.0030360333790184
1993,Renewable energy share in the total final energy consumption,Wood,Normal value,Units,Percentage (%),0.2758453184365296
1993,Renewable energy share in the total final energy consumption,Charcoal,Normal value,Units,Percentage (%),0.0147464478409465
1993,Renewable energy share in the total final energy consumption,Liquid bio-fuels,Normal value,Units,Percentage (%),0.0
1993,Renewable energy share in the total final energy consumption,Bioethanol,Normal value,Units,Percentage (%),0.0
1993,Renewable energy share in the total final energy consumption,Biodiesel,Normal value,Units,Percentage (%),0.0
1993,Renewable energy share in the total final energy consumption,Biomass,Normal value,Units,Percentage (%),0.0281917385194566
1993,Renewable energy share in the total final energy consumption,Cross-boundary Adjustment,Normal value,Units,Percentage (%),0.0
1994,Renewable energy share in the total final energy consumption,Hydroelectric power,Normal value,Units,Percentage (%),0.1897467444137345
1994,Renewable energy share in the total final energy consumption,"Wind, wave, tidal",Normal value,Units,Percentage (%),0.0129963523571051
1994,Renewable energy share in the total final energy consumption,Solar photovoltaic,Normal value,Units,Percentage (%),0.0
1994,Renewable energy share in the total final energy consumption,Geothermal aquifers,Normal value,Units,Percentage (%),0.0004332117452368
1994,Renewable energy share in the total final energy consumption,Landfill gas,Normal value,Units,Percentage (%),0.0814438081045253
1994,Renewable energy share in the total final energy consumption,Sewage gas,Normal value,Units,Percentage (%),0.0736459966902622
1994,Renewable energy share in the total final energy consumption,Biogas from autogen,Normal value,Units,Percentage (%),0.0
1994,Renewable energy share in the total final energy consumption,Municipal solid waste (MSW),Normal value,Units,Percentage (%),0.1667865219161821
1994,Renewable energy share in the total final energy consumption,Poultry litter,Normal value,Units,Percentage (%),0.0437543862689205
1994,Renewable energy share in the total final energy consumption,Straw,Normal value,Units,Percentage (%),0.0030324822166578
1994,Renewable energy share in the total final energy consumption,Wood,Normal value,Units,Percentage (%),0.4249807220773369
1994,Renewable energy share in the total final energy consumption,Charcoal,Normal value,Units,Percentage (%),0.0147291993380524
1994,Renewable energy share in the total final energy consumption,Liquid bio-fuels,Normal value,Units,Percentage (%),0.0
1994,Renewable energy share in the total final energy consumption,Bioethanol,Normal value,Units,Percentage (%),0.0
1994,Renewable energy share in the total final energy consumption,Biodiesel,Normal value,Units,Percentage (%),0.0
1994,Renewable energy share in the total final energy consumption,Biomass,Normal value,Units,Percentage (%),0.0281587634403943
1994,Renewable energy share in the total final energy consumption,Cross-boundary Adjustment,Normal value,Units,Percentage (%),0.0
1995,Renewable energy share in the total final energy consumption,Hydroelectric power,Normal value,Units,Percentage (%),0.1802762213063959
1995,Renewable energy share in the total final energy consumption,"Wind, wave, tidal",Normal value,Units,Percentage (%),0.0147341142413881
1995,Renewable energy share in the total final energy consumption,Solar photovoltaic,Normal value,Units,Percentage (%),0.0
1995,Renewable energy share in the total final energy consumption,Geothermal aquifers,Normal value,Units,Percentage (%),0.0004333563012172
1995,Renewable energy share in the total final energy consumption,Landfill gas,Normal value,Units,Percentage (%),0.0862379039422422
1995,Renewable energy share in the total final energy consumption,Sewage gas,Normal value,Units,Percentage (%),0.0836377661349385
1995,Renewable energy share in the total final energy consumption,Biogas from autogen,Normal value,Units,Percentage (%),0.0
1995,Renewable energy share in the total final energy consumption,Municipal solid waste (MSW),Normal value,Units,Percentage (%),0.1781094398003094
1995,Renewable energy share in the total final energy consumption,Poultry litter,Normal value,Units,Percentage (%),0.043768986422947
1995,Renewable energy share in the total final energy consumption,Straw,Normal value,Units,Percentage (%),0.003033494108521
1995,Renewable energy share in the total final energy consumption,Wood,Normal value,Units,Percentage (%),0.4701915868207681
1995,Renewable energy share in the total final energy consumption,Charcoal,Normal value,Units,Percentage (%),0.0151674705426054
1995,Renewable energy share in the total final energy consumption,Liquid bio-fuels,Normal value,Units,Percentage (%),0.0
1995,Renewable energy share in the total final energy consumption,Bioethanol,Normal value,Units,Percentage (%),0.0
1995,Renewable energy share in the total final energy consumption,Biodiesel,Normal value,Units,Percentage (%),0.0
1995,Renewable energy share in the total final energy consumption,Biomass,Normal value,Units,Percentage (%),0.0281681595791243
1995,Renewable energy share in the total final energy consumption,Cross-boundary Adjustment,Normal value,Units,Percentage (%),0.0
1996,Renewable energy share in the total final energy consumption,Hydroelectric power,Normal value,Units,Percentage (%),0.1198145336670633
1996,Renewable energy share in the total final energy consumption,"Wind, wave, tidal",Normal value,Units,Percentage (%),0.0172335973082762
1996,Renewable energy share in the total final energy consumption,Solar photovoltaic,Normal value,Units,Percentage (%),0.0
1996,Renewable energy share in the total final energy consumption,Geothermal aquifers,Normal value,Units,Percentage (%),0.0004103237454351
1996,Renewable energy share in the total final energy consumption,Landfill gas,Normal value,Units,Percentage (%),0.1021706126133519
1996,Renewable energy share in the total final energy consumption,Sewage gas,Normal value,Units,Percentage (%),0.0791924828689836
1996,Renewable energy share in the total final energy consumption,Biogas from autogen,Normal value,Units,Percentage (%),0.0
1996,Renewable energy share in the total final energy consumption,Municipal solid waste (MSW),Normal value,Units,Percentage (%),0.1624882031923187
1996,Renewable energy share in the total final energy consumption,Poultry litter,Normal value,Units,Percentage (%),0.0414426982889499
1996,Renewable energy share in the total final energy consumption,Straw,Normal value,Units,Percentage (%),0.002872266218046
1996,Renewable energy share in the total final energy consumption,Wood,Normal value,Units,Percentage (%),0.4911575232858726
1996,Renewable energy share in the total final energy consumption,Charcoal,Normal value,Units,Percentage (%),0.016823273562841
1996,Renewable energy share in the total final energy consumption,Liquid bio-fuels,Normal value,Units,Percentage (%),0.0
1996,Renewable energy share in the total final energy consumption,Bioethanol,Normal value,Units,Percentage (%),0.0
1996,Renewable energy share in the total final energy consumption,Biodiesel,Normal value,Units,Percentage (%),0.0
1996,Renewable energy share in the total final energy consumption,Biomass,Normal value,Units,Percentage (%),0.0266710434532846
1996,Renewable energy share in the total final energy consumption,Cross-boundary Adjustment,Normal value,Units,Percentage (%),0.0
1997,Renewable energy share in the total final energy consumption,Hydroelectric power,Normal value,Units,Percentage (%),0.1586808499920239
1997,Renewable energy share in the total final energy consumption,"Wind, wave, tidal",Normal value,Units,Percentage (%),0.0239280646813369
1997,Renewable energy share in the total final energy consumption,Solar photovoltaic,Normal value,Units,Percentage (%),0.0
1997,Renewable energy share in the total final energy consumption,Geothermal aquifers,Normal value,Units,Percentage (%),0.0004197906084445
1997,Renewable energy share in the total final energy consumption,Landfill gas,Normal value,Units,Percentage (%),0.133073622876909
1997,Renewable energy share in the total final energy consumption,Sewage gas,Normal value,Units,Percentage (%),0.0805997968213455
1997,Renewable energy share in the total final energy consumption,Biogas from autogen,Normal value,Units,Percentage (%),0.0
1997,Renewable energy share in the total final energy consumption,Municipal solid waste (MSW),Normal value,Units,Percentage (%),0.1952026329266961
1997,Renewable energy share in the total final energy consumption,Poultry litter,Normal value,Units,Percentage (%),0.0423988514528953
1997,Renewable energy share in the total final energy consumption,Straw,Normal value,Units,Percentage (%),0.0029385342591115
1997,Renewable energy share in the total final energy consumption,Wood,Normal value,Units,Percentage (%),0.4890560588378517
1997,Renewable energy share in the total final energy consumption,Charcoal,Normal value,Units,Percentage (%),0.0159520431208913
1997,Renewable energy share in the total final energy consumption,Liquid bio-fuels,Normal value,Units,Percentage (%),0.0
1997,Renewable energy share in the total final energy consumption,Bioethanol,Normal value,Units,Percentage (%),0.0
1997,Renewable energy share in the total final energy consumption,Biodiesel,Normal value,Units,Percentage (%),0.0
1997,Renewable energy share in the total final energy consumption,Biomass,Normal value,Units,Percentage (%),0.027286389548893
1997,Renewable energy share in the total final energy consumption,Cross-boundary Adjustment,Normal value,Units,Percentage (%),0.0
1998,Renewable energy share in the total final energy consumption,Hydroelectric power,Normal value,Units,Percentage (%),0.1808645324651835
1998,Renewable energy share in the total final energy consumption,"Wind, wave, tidal",Normal value,Units,Percentage (%),0.0308291816702017
1998,Renewable energy share in the total final energy consumption,Solar photovoltaic,Normal value,Units,Percentage (%),0.0
1998,Renewable energy share in the total final energy consumption,Geothermal aquifers,Normal value,Units,Percentage (%),0.0004110557556026
1998,Renewable energy share in the total final energy consumption,Landfill gas,Normal value,Units,Percentage (%),0.1652444137522813
1998,Renewable energy share in the total final energy consumption,Sewage gas,Normal value,Units,Percentage (%),0.0744010917640868
1998,Renewable energy share in the total final energy consumption,Biogas from autogen,Normal value,Units,Percentage (%),0.0
1998,Renewable energy share in the total final energy consumption,Municipal solid waste (MSW),Normal value,Units,Percentage (%),0.2667751853861457
1998,Renewable energy share in the total final energy consumption,Poultry litter,Normal value,Units,Percentage (%),0.0460382446275012
1998,Renewable energy share in the total final energy consumption,Straw,Normal value,Units,Percentage (%),0.0028773902892188
1998,Renewable energy share in the total final energy consumption,Wood,Normal value,Units,Percentage (%),0.4480507736069321
1998,Renewable energy share in the total final energy consumption,Charcoal,Normal value,Units,Percentage (%),0.0164422302241076
1998,Renewable energy share in the total final energy consumption,Liquid bio-fuels,Normal value,Units,Percentage (%),0.0
1998,Renewable energy share in the total final energy consumption,Bioethanol,Normal value,Units,Percentage (%),0.0
1998,Renewable energy share in the total final energy consumption,Biodiesel,Normal value,Units,Percentage (%),0.0
1998,Renewable energy share in the total final energy consumption,Biomass,Normal value,Units,Percentage (%),0.011920616912478
1998,Renewable energy share in the total final energy consumption,Cross-boundary Adjustment,Normal value,Units,Percentage (%),0.0
1999,Renewable energy share in the total final energy consumption,Hydroelectric power,Normal value,Units,Percentage (%),0.1886583065142603
1999,Renewable energy share in the total final energy consumption,"Wind, wave, tidal",Normal value,Units,Percentage (%),0.0300044801210043
1999,Renewable energy share in the total final energy consumption,Solar photovoltaic,Normal value,Units,Percentage (%),0.0
1999,Renewable energy share in the total final energy consumption,Geothermal aquifers,Normal value,Units,Percentage (%),0.0004110202756301
1999,Renewable energy share in the total final energy consumption,Landfill gas,Normal value,Units,Percentage (%),0.2351035976604726
1999,Renewable energy share in the total final energy consumption,Sewage gas,Normal value,Units,Percentage (%),0.0776828320941072
1999,Renewable energy share in the total final energy consumption,Biogas from autogen,Normal value,Units,Percentage (%),0.0
1999,Renewable energy share in the total final energy consumption,Municipal solid waste (MSW),Normal value,Units,Percentage (%),0.2601758344739146
1999,Renewable energy share in the total final energy consumption,Poultry litter,Normal value,Units,Percentage (%),0.0608310007932691
1999,Renewable energy share in the total final energy consumption,Straw,Normal value,Units,Percentage (%),0.0028771419294113
1999,Renewable energy share in the total final energy consumption,Wood,Normal value,Units,Percentage (%),0.4237619041747329
1999,Renewable energy share in the total final energy consumption,Charcoal,Normal value,Units,Percentage (%),0.0135636690957964
1999,Renewable energy share in the total final energy consumption,Liquid bio-fuels,Normal value,Units,Percentage (%),0.0
1999,Renewable energy share in the total final energy consumption,Bioethanol,Normal value,Units,Percentage (%),0.0
1999,Renewable energy share in the total final energy consumption,Biodiesel,Normal value,Units,Percentage (%),0.0
1999,Renewable energy share in the total final energy consumption,Biomass,Normal value,Units,Percentage (%),0.0304155003966345
1999,Renewable energy share in the total final energy consumption,Cross-boundary Adjustment,Normal value,Units,Percentage (%),0.0
2000,Renewable energy share in the total final energy consumption,Hydroelectric power,Normal value,Units,Percentage (%),0.1783033033033033
2000,Renewable energy share in the total final energy consumption,"Wind, wave, tidal",Normal value,Units,Percentage (%),0.0330493537015276
2000,Renewable energy share in the total final energy consumption,Solar photovoltaic,Normal value,Units,Percentage (%),0.0
2000,Renewable energy share in the total final energy consumption,Geothermal aquifers,Normal value,Units,Percentage (%),0.0004080167123645
2000,Renewable energy share in the total final energy consumption,Landfill gas,Normal value,Units,Percentage (%),0.2982602167384776
2000,Renewable energy share in the total final energy consumption,Sewage gas,Normal value,Units,Percentage (%),0.068954824389607
2000,Renewable energy share in the total final energy consumption,Biogas from autogen,Normal value,Units,Percentage (%),0.0
2000,Renewable energy share in the total final energy consumption,Municipal solid waste (MSW),Normal value,Units,Percentage (%),0.2766353309831571
2000,Renewable energy share in the total final energy consumption,Poultry litter,Normal value,Units,Percentage (%),0.0648746572659616
2000,Renewable energy share in the total final energy consumption,Straw,Normal value,Units,Percentage (%),0.006120250685468
2000,Renewable energy share in the total final energy consumption,Wood,Normal value,Units,Percentage (%),0.3741513252382817
2000,Renewable energy share in the total final energy consumption,Charcoal,Normal value,Units,Percentage (%),0.0146886016451233
2000,Renewable energy share in the total final energy consumption,Liquid bio-fuels,Normal value,Units,Percentage (%),0.0
2000,Renewable energy share in the total final energy consumption,Bioethanol,Normal value,Units,Percentage (%),0.0
2000,Renewable energy share in the total final energy consumption,Biodiesel,Normal value,Units,Percentage (%),0.0
2000,Renewable energy share in the total final energy consumption,Biomass,Normal value,Units,Percentage (%),0.0367215041128084
2000,Renewable energy share in the total final energy consumption,Cross-boundary Adjustment,Normal value,Units,Percentage (%),0.0
2001,Renewable energy share in the total final energy consumption,Hydroelectric power,Normal value,Units,Percentage (%),0.139466101321321
2001,Renewable energy share in the total final energy consumption,"Wind, wave, tidal",Normal value,Units,Percentage (%),0.033263466694453
2001,Renewable energy share in the total final energy consumption,Solar photovoltaic,Normal value,Units,Percentage (%),0.0
2001,Renewable energy share in the total final energy consumption,Geothermal aquifers,Normal value,Units,Percentage (%),0.0004007646589693
2001,Renewable energy share in the total final energy consumption,Landfill gas,Normal value,Units,Percentage (%),0.3350392548983461
2001,Renewable energy share in the total final energy consumption,Sewage gas,Normal value,Units,Percentage (%),0.0673284627068446
2001,Renewable energy share in the total final energy consumption,Biogas from autogen,Normal value,Units,Percentage (%),0.0
2001,Renewable energy share in the total final energy consumption,Municipal solid waste (MSW),Normal value,Units,Percentage (%),0.2929589657065681
2001,Renewable energy share in the total final energy consumption,Poultry litter,Normal value,Units,Percentage (%),0.0797521671348933
2001,Renewable energy share in the total final energy consumption,Straw,Normal value,Units,Percentage (%),0.0304581140816678
2001,Renewable energy share in the total final energy consumption,Wood,Normal value,Units,Percentage (%),0.3847340726105409
2001,Renewable energy share in the total final energy consumption,Charcoal,Normal value,Units,Percentage (%),0.0132252337459873
2001,Renewable energy share in the total final energy consumption,Liquid bio-fuels,Normal value,Units,Percentage (%),0.0
2001,Renewable energy share in the total final energy consumption,Bioethanol,Normal value,Units,Percentage (%),0.0
2001,Renewable energy share in the total final energy consumption,Biodiesel,Normal value,Units,Percentage (%),0.0
2001,Renewable energy share in the total final energy consumption,Biomass,Normal value,Units,Percentage (%),0.0312596433996064
2001,Renewable energy share in the total final energy consumption,Cross-boundary Adjustment,Normal value,Units,Percentage (%),0.0
2002,Renewable energy share in the total final energy consumption,Hydroelectric power,Normal value,Units,Percentage (%),0.1692874723161566
2002,Renewable energy share in the total final energy consumption,"Wind, wave, tidal",Normal value,Units,Percentage (%),0.0443763276945265
2002,Renewable energy share in the total final energy consumption,Solar photovoltaic,Normal value,Units,Percentage (%),0.0
2002,Renewable energy share in the total final energy consumption,Geothermal aquifers,Normal value,Units,Percentage (%),0.0004108919230974
2002,Renewable energy share in the total final energy consumption,Landfill gas,Normal value,Units,Percentage (%),0.3665155954029411
