Year,Series,Units,Unit multiplier,Observation status,Value
1972,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,3.99059804606
1973,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,4.850336174373708
1974,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,-2.7560591179098424
1975,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,-1.1188917465654773
1976,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,3.6245173970732014
1977,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,2.3400708901604546
1978,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,3.63065147282524
1979,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,2.6722132861808428
1980,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,-1.630724653455922
1981,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,1.9743148567446152
1982,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,4.010714810831798
1983,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,4.96809442772044
1984,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,0.0958980456826442
1985,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,2.8237709077427757
1986,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,2.5084608118542384
1987,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,3.3337250088847816
1988,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,2.361892075659369
1989,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,-0.0260657707932078
1990,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,0.2765135571436116
1991,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,1.5770419218870089
1992,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,2.84620130026036
1993,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,3.45047583934942
1994,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,3.027613478563741
1995,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,1.2844385194743682
1996,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,1.539771953657587
1997,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,3.1311997934445936
1998,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,2.666629419010574
1999,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,1.8769549684474924
2000,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,2.316211605937155
2001,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,1.8850607311460912
2002,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,1.3304863614806852
2003,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,2.307737570680646
2004,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,1.1784457270334594
2005,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,1.8137222112166964
2006,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,1.678774780549678
2007,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,1.5243000204923276
2008,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,-1.120172028122823
2009,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,-2.561671391597633
2010,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,1.822602606135613
2011,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,0.7586086934673677
2012,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,0.3407955452051804
2013,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,1.0093068768945614
2014,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,0.4846509828818133
2015,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,0.6256621452245271
2016,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,0.2515386287561081
2017,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,0.7469315019379785
2018,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,0.0602453403192769
2019,Annual growth rate of real GDP per employed person,Percentage (%),Units,Normal value,0.1494726734437772
