Year,Series,Observation status,Unit multiplier,Units,Value
1980,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),22.9838022165
1981,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),22.3086104007
1982,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),21.6334185848
1983,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),20.958226769
1984,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),20.2830349531
1985,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),19.6078431373
1986,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),19.7851662404
1987,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),19.9624893436
1988,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),20.1398124467
1989,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),20.3171355499
1990,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),20.494458653
1991,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),20.5183290708
1992,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),20.5421994885
1993,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),20.5660699062
1994,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),20.589940324
1995,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),20.6138107417
1996,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),20.7481515927
1997,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),20.8824924436
1998,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),21.0168332946
1999,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),21.1511741455
2000,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),21.2855149965
2001,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),21.4198558475
2002,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),21.5541966984
2003,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),21.6885375494
2004,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),21.8228784004
2005,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),21.9572192513
2006,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),22.0915601023
2007,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),14.5149190111
2008,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),14.231884058
2009,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),14.1193520887
2010,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),14.0903665814
2011,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),13.1031543052
2012,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),13.6692242114
2013,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),13.0451832907
2014,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),12.42114237
2015,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),13.9130434783
2016,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),14.3546462063
2017,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),14.3546462063
2018,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),14.3546462063
2019,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),14.3546462063
2020,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units,Percentage (%),14.3546462063
