Year,Units,Unit measure,Observation status,Unit multiplier,Value
1950,Marine protected area extent,Hectares,Undefined,Million,0.0
1951,Marine protected area extent,Hectares,Undefined,Million,0.01
1952,Marine protected area extent,Hectares,Undefined,Million,0.02
1953,Marine protected area extent,Hectares,Undefined,Million,0.02
1954,Marine protected area extent,Hectares,Undefined,Million,0.04
1955,Marine protected area extent,Hectares,Undefined,Million,0.04
1956,Marine protected area extent,Hectares,Undefined,Million,0.07
1957,Marine protected area extent,Hectares,Undefined,Million,0.08
1958,Marine protected area extent,Hectares,Undefined,Million,0.08
1959,Marine protected area extent,Hectares,Undefined,Million,0.08
1960,Marine protected area extent,Hectares,Undefined,Million,0.08
1961,Marine protected area extent,Hectares,Undefined,Million,0.08
1962,Marine protected area extent,Hectares,Undefined,Million,0.08
1963,Marine protected area extent,Hectares,Undefined,Million,0.08
1964,Marine protected area extent,Hectares,Undefined,Million,0.09
1965,Marine protected area extent,Hectares,Undefined,Million,0.09
1966,Marine protected area extent,Hectares,Undefined,Million,0.11
1967,Marine protected area extent,Hectares,Undefined,Million,0.11
1968,Marine protected area extent,Hectares,Undefined,Million,0.11
1969,Marine protected area extent,Hectares,Undefined,Million,0.11
1970,Marine protected area extent,Hectares,Undefined,Million,0.11
1971,Marine protected area extent,Hectares,Undefined,Million,0.12
1972,Marine protected area extent,Hectares,Undefined,Million,0.19
1973,Marine protected area extent,Hectares,Undefined,Million,0.19
1974,Marine protected area extent,Hectares,Undefined,Million,0.2
1975,Marine protected area extent,Hectares,Undefined,Million,0.2
1976,Marine protected area extent,Hectares,Undefined,Million,0.23
1977,Marine protected area extent,Hectares,Undefined,Million,0.23
1978,Marine protected area extent,Hectares,Undefined,Million,0.23
1979,Marine protected area extent,Hectares,Undefined,Million,0.23
1980,Marine protected area extent,Hectares,Undefined,Million,0.23
1981,Marine protected area extent,Hectares,Undefined,Million,0.23
1982,Marine protected area extent,Hectares,Undefined,Million,0.23
1983,Marine protected area extent,Hectares,Undefined,Million,0.23
1984,Marine protected area extent,Hectares,Undefined,Million,0.23
1985,Marine protected area extent,Hectares,Undefined,Million,0.25
1986,Marine protected area extent,Hectares,Undefined,Million,0.27
1987,Marine protected area extent,Hectares,Undefined,Million,0.27
1988,Marine protected area extent,Hectares,Undefined,Million,0.27
1989,Marine protected area extent,Hectares,Undefined,Million,0.27
1990,Marine protected area extent,Hectares,Undefined,Million,0.3
1991,Marine protected area extent,Hectares,Undefined,Million,0.3
1992,Marine protected area extent,Hectares,Undefined,Million,0.3
1993,Marine protected area extent,Hectares,Undefined,Million,0.31
1994,Marine protected area extent,Hectares,Undefined,Million,0.35
1995,Marine protected area extent,Hectares,Undefined,Million,0.35
