Year,Series,Standard accounting tools,Observation status,Unit multiplier,Unit measure,Value
2008,Number of tables reported,System of environmental and economic accounts tables (SEEA),Normal value,Units,Number of tables,1.0
2009,Number of tables reported,System of environmental and economic accounts tables (SEEA),Normal value,Units,Number of tables,2.0
2010,Number of tables reported,System of environmental and economic accounts tables (SEEA),Normal value,Units,Number of tables,2.0
2011,Number of tables reported,System of environmental and economic accounts tables (SEEA),Normal value,Units,Number of tables,3.0
2012,Number of tables reported,System of environmental and economic accounts tables (SEEA),Normal value,Units,Number of tables,2.0
2013,Number of tables reported,System of environmental and economic accounts tables (SEEA),Normal value,Units,Number of tables,2.0
2014,Number of tables reported,System of environmental and economic accounts tables (SEEA),Normal value,Units,Number of tables,2.0
2015,Number of tables reported,System of environmental and economic accounts tables (SEEA),Normal value,Units,Number of tables,2.0
2016,Number of tables reported,System of environmental and economic accounts tables (SEEA),Normal value,Units,Number of tables,2.0
2017,Number of tables reported,System of environmental and economic accounts tables (SEEA),Normal value,Units,Number of tables,2.0
2018,Number of tables reported,System of environmental and economic accounts tables (SEEA),Normal value,Units,Number of tables,2.0
2019,Number of tables reported,System of environmental and economic accounts tables (SEEA),Normal value,Units,Number of tables,2.0
2008,Number of tables reported,Tourism satellite account tables (TSA),Normal value,Units,Number of tables,7.0
2009,Number of tables reported,Tourism satellite account tables (TSA),Normal value,Units,Number of tables,7.0
2010,Number of tables reported,Tourism satellite account tables (TSA),Normal value,Units,Number of tables,7.0
2011,Number of tables reported,Tourism satellite account tables (TSA),Normal value,Units,Number of tables,7.0
2012,Number of tables reported,Tourism satellite account tables (TSA),Normal value,Units,Number of tables,7.0
2013,Number of tables reported,Tourism satellite account tables (TSA),Normal value,Units,Number of tables,7.0
2014,Number of tables reported,Tourism satellite account tables (TSA),Normal value,Units,Number of tables,7.0
2015,Number of tables reported,Tourism satellite account tables (TSA),Normal value,Units,Number of tables,7.0
2016,Number of tables reported,Tourism satellite account tables (TSA),Normal value,Units,Number of tables,7.0
2017,Number of tables reported,Tourism satellite account tables (TSA),Normal value,Units,Number of tables,7.0
2018,Number of tables reported,Tourism satellite account tables (TSA),Normal value,Units,Number of tables,7.0
2019,Number of tables reported,Tourism satellite account tables (TSA),Normal value,Units,Number of tables,7.0
2008,Number of tables reported,,Normal value,Units,Number of tables,8.0
2009,Number of tables reported,,Normal value,Units,Number of tables,9.0
2010,Number of tables reported,,Normal value,Units,Number of tables,9.0
2011,Number of tables reported,,Normal value,Units,Number of tables,10.0
2012,Number of tables reported,,Normal value,Units,Number of tables,9.0
2013,Number of tables reported,,Normal value,Units,Number of tables,9.0
2014,Number of tables reported,,Normal value,Units,Number of tables,9.0
2015,Number of tables reported,,Normal value,Units,Number of tables,9.0
2016,Number of tables reported,,Normal value,Units,Number of tables,9.0
2017,Number of tables reported,,Normal value,Units,Number of tables,9.0
2018,Number of tables reported,,Normal value,Units,Number of tables,9.0
2019,Number of tables reported,,Normal value,Units,Number of tables,9.0
