Year,Series,Country income classification,Observation status,Units,Value
2017,Net ODA in support of clean energy research and development and renewable energy production,,Definition differs,Constant USD ($ thousands),75945.49
2018,Net ODA in support of clean energy research and development and renewable energy production,LDCs,Definition differs,GBP (£ thousands),10675.701
2018,Net ODA in support of clean energy research and development and renewable energy production,LDCs,Definition differs,Constant USD ($ thousands),14786.939
2018,Net ODA in support of clean energy research and development and renewable energy production,LMICs,Definition differs,GBP (£ thousands),14649.034
2018,Net ODA in support of clean energy research and development and renewable energy production,LMICs,Definition differs,Constant USD ($ thousands),20290.412
2018,Net ODA in support of clean energy research and development and renewable energy production,UMICs,Definition differs,GBP (£ thousands),10.026
2018,Net ODA in support of clean energy research and development and renewable energy production,UMICs,Definition differs,Constant USD ($ thousands),13.887
2018,Net ODA in support of clean energy research and development and renewable energy production,Unspecified,Definition differs,GBP (£ thousands),79140.851
2018,Net ODA in support of clean energy research and development and renewable energy production,Unspecified,Definition differs,Constant USD ($ thousands),109618.179
2018,Net ODA in support of clean energy research and development and renewable energy production,,Definition differs,GBP (£ thousands),104475.612
2018,Net ODA in support of clean energy research and development and renewable energy production,,Definition differs,Constant USD ($ thousands),144709.417
2019,Net ODA in support of clean energy research and development and renewable energy production,LDCs,Definition differs,GBP (£ thousands),10301.9
2019,Net ODA in support of clean energy research and development and renewable energy production,LDCs,Definition differs,Constant USD ($ thousands),13987.327
2019,Net ODA in support of clean energy research and development and renewable energy production,LMICs,Definition differs,GBP (£ thousands),16822.926
2019,Net ODA in support of clean energy research and development and renewable energy production,LMICs,Definition differs,Constant USD ($ thousands),22841.2
2019,Net ODA in support of clean energy research and development and renewable energy production,UMICs,Definition differs,GBP (£ thousands),3228.428
2019,Net ODA in support of clean energy research and development and renewable energy production,UMICs,Definition differs,Constant USD ($ thousands),4383.373
2019,Net ODA in support of clean energy research and development and renewable energy production,Unspecified,Definition differs,GBP (£ thousands),75864.904
2019,Net ODA in support of clean energy research and development and renewable energy production,Unspecified,Definition differs,Constant USD ($ thousands),103005.0
2019,Net ODA in support of clean energy research and development and renewable energy production,,Definition differs,GBP (£ thousands),106218.157
2019,Net ODA in support of clean energy research and development and renewable energy production,,Definition differs,Constant USD ($ thousands),144216.9
2020,Net ODA in support of clean energy research and development and renewable energy production,LDCs,Definition differs,GBP (£ thousands),7366.88
2020,Net ODA in support of clean energy research and development and renewable energy production,LDCs,Definition differs,Constant USD ($ thousands),9448.352
2020,Net ODA in support of clean energy research and development and renewable energy production,LMICs,Definition differs,GBP (£ thousands),16619.177
2020,Net ODA in support of clean energy research and development and renewable energy production,LMICs,Definition differs,Constant USD ($ thousands),21314.835
2020,Net ODA in support of clean energy research and development and renewable energy production,UMICs,Definition differs,GBP (£ thousands),13990.69
2020,Net ODA in support of clean energy research and development and renewable energy production,UMICs,Definition differs,Constant USD ($ thousands),17943.683
2020,Net ODA in support of clean energy research and development and renewable energy production,Unspecified,Definition differs,GBP (£ thousands),58182.571
2020,Net ODA in support of clean energy research and development and renewable energy production,Unspecified,Definition differs,Constant USD ($ thousands),74621.74
2020,Net ODA in support of clean energy research and development and renewable energy production,,Definition differs,GBP (£ thousands),96159.318
2020,Net ODA in support of clean energy research and development and renewable energy production,,Definition differs,Constant USD ($ thousands),123328.611
2021,Net ODA in support of clean energy research and development and renewable energy production,LDCs,Definition differs,GBP (£ thousands),8703.482
2021,Net ODA in support of clean energy research and development and renewable energy production,LDCs,Definition differs,Constant USD ($ thousands),11073.693
2021,Net ODA in support of clean energy research and development and renewable energy production,LMICs,Definition differs,GBP (£ thousands),21802.291
2021,Net ODA in support of clean energy research and development and renewable energy production,LMICs,Definition differs,Constant USD ($ thousands),27739.689
2021,Net ODA in support of clean energy research and development and renewable energy production,UMICs,Definition differs,GBP (£ thousands),65150.329
2021,Net ODA in support of clean energy research and development and renewable energy production,UMICs,Definition differs,Constant USD ($ thousands),82892.658
2021,Net ODA in support of clean energy research and development and renewable energy production,Unspecified,Definition differs,GBP (£ thousands),97918.369
2021,Net ODA in support of clean energy research and development and renewable energy production,Unspecified,Definition differs,Constant USD ($ thousands),124584.389
2021,Net ODA in support of clean energy research and development and renewable energy production,,Definition differs,GBP (£ thousands),193574.47
2021,Net ODA in support of clean energy research and development and renewable energy production,,Definition differs,Constant USD ($ thousands),246290.429
