Year,Speed (mb/sec),Units,Unit multiplier,Observation status,Value
2000,,Rate per 100 population,Units,Undefined,0.09
2001,,Rate per 100 population,Units,Undefined,0.56
2002,,Rate per 100 population,Units,Undefined,2.29
2003,,Rate per 100 population,Units,Undefined,5.23
2004,,Rate per 100 population,Units,Undefined,10.23
2005,,Rate per 100 population,Units,Undefined,16.42
2006,,Rate per 100 population,Units,Undefined,21.4
2007,,Rate per 100 population,Units,Undefined,25.39
2008,,Rate per 100 population,Units,Undefined,27.85
2008,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Undefined,24.57
2008,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Undefined,1.35
2008,10 mbps and over,Rate per 100 population,Units,Undefined,1.88
2009,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Undefined,18.24
2009,,Rate per 100 population,Units,Undefined,28.45
2009,10 mbps and over,Rate per 100 population,Units,Undefined,9.56
2009,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Undefined,0.63
2010,10 mbps and over,Rate per 100 population,Units,Undefined,19.84
2010,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Undefined,9.93
2010,,Rate per 100 population,Units,Undefined,30.18
2010,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Undefined,0.38
2011,10 mbps and over,Rate per 100 population,Units,Undefined,22.34
2011,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Undefined,0.0
2011,,Rate per 100 population,Units,Undefined,32.16
2011,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Undefined,8.57
2012,,Rate per 100 population,Units,Undefined,33.61
2012,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Undefined,7.42
2012,10 mbps and over,Rate per 100 population,Units,Undefined,25.4
2012,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Undefined,0.0
2013,10 mbps and over,Rate per 100 population,Units,Undefined,27.73
2013,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Undefined,5.81
2013,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Undefined,0.0
2013,,Rate per 100 population,Units,Undefined,35.45
2014,10 mbps and over,Rate per 100 population,Units,Undefined,31.58
2014,,Rate per 100 population,Units,Undefined,36.27
2014,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Undefined,4.69
2014,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Undefined,0.0
2015,,Rate per 100 population,Units,Undefined,37.48
2015,10 mbps and over,Rate per 100 population,Units,Undefined,34.92
2015,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Undefined,2.5
2015,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Undefined,0.0
2016,10 mbps and over,Rate per 100 population,Units,Undefined,35.33
2016,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Undefined,2.66
2016,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Undefined,0.0
2016,,Rate per 100 population,Units,Undefined,38.38
2017,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Undefined,2.71
2017,,Rate per 100 population,Units,Undefined,39.03
2017,10 mbps and over,Rate per 100 population,Units,Undefined,36.28
2017,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Undefined,0.0
2018,,Rate per 100 population,Units,Undefined,39.6
2018,10 mbps and over,Rate per 100 population,Units,Undefined,38.82
2018,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Undefined,0.66
2018,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Undefined,0.0
2019,,Rate per 100 population,Units,Undefined,39.67
2008,10 mbps and over,Number,Units,Undefined,1169483.0
2009,10 mbps and over,Number,Units,Undefined,6005106.0
