Year,Country income classification,Units,Unit multiplier,Observation status,Value
2016,,GBP (£ thousands),Thousands,Normal value,46372.25
2009,LDCs,Constant USD ($ thousands),Thousands,Normal value,13357.205
2009,LMICs,Constant USD ($ thousands),Thousands,Normal value,4712.584
2009,Other LICs,Constant USD ($ thousands),Thousands,Normal value,6456.725
2009,UMICs,Constant USD ($ thousands),Thousands,Normal value,457.65
2009,Unspecified,Constant USD ($ thousands),Thousands,Normal value,56695.959
2010,LDCs,Constant USD ($ thousands),Thousands,Normal value,24687.636
2010,LMICs,Constant USD ($ thousands),Thousands,Normal value,1599.303
2010,Other LICs,Constant USD ($ thousands),Thousands,Normal value,8442.131
2010,UMICs,Constant USD ($ thousands),Thousands,Normal value,440.955
2010,Unspecified,Constant USD ($ thousands),Thousands,Normal value,194740.291
2011,LDCs,Constant USD ($ thousands),Thousands,Normal value,22289.98
2011,LMICs,Constant USD ($ thousands),Thousands,Normal value,4929.24
2011,Other LICs,Constant USD ($ thousands),Thousands,Normal value,270.954
2011,UMICs,Constant USD ($ thousands),Thousands,Normal value,335.955
2011,Unspecified,Constant USD ($ thousands),Thousands,Normal value,52246.216
2012,LDCs,Constant USD ($ thousands),Thousands,Normal value,26155.33
2012,LMICs,Constant USD ($ thousands),Thousands,Normal value,17307.417
2012,Other LICs,Constant USD ($ thousands),Thousands,Normal value,7706.104
2012,UMICs,Constant USD ($ thousands),Thousands,Normal value,6931.243
2012,Unspecified,Constant USD ($ thousands),Thousands,Normal value,40910.936
2013,LDCs,Constant USD ($ thousands),Thousands,Normal value,36339.402
2013,LMICs,Constant USD ($ thousands),Thousands,Normal value,10411.362
2013,Other LICs,Constant USD ($ thousands),Thousands,Normal value,7510.437
2013,UMICs,Constant USD ($ thousands),Thousands,Normal value,4979.476
2013,Unspecified,Constant USD ($ thousands),Thousands,Normal value,63912.69
2014,LDCs,Constant USD ($ thousands),Thousands,Normal value,29331.11
2014,LMICs,Constant USD ($ thousands),Thousands,Normal value,7753.761
2014,Other LICs,Constant USD ($ thousands),Thousands,Normal value,2394.422
2014,UMICs,Constant USD ($ thousands),Thousands,Normal value,12377.318
2014,Unspecified,Constant USD ($ thousands),Thousands,Normal value,43363.212
2015,LDCs,Constant USD ($ thousands),Thousands,Normal value,47820.332
2015,LMICs,Constant USD ($ thousands),Thousands,Normal value,519.724
2015,Other LICs,Constant USD ($ thousands),Thousands,Normal value,2836.149
2015,UMICs,Constant USD ($ thousands),Thousands,Normal value,1307.686
2015,Unspecified,Constant USD ($ thousands),Thousands,Normal value,32836.009
2016,LDCs,Constant USD ($ thousands),Thousands,Normal value,36772.749
