Year,Age,Sex,Nationality,Unit measure,Unit multiplier,Observation status,Value
2009,,Female,,Percentage (%),Units,Normal value,18.876247968423492
2009,15 to 17,Female,,Percentage (%),Units,Normal value,21.052631578947366
2009,18 to 20,Female,,Percentage (%),Units,Normal value,25.340599455040877
2009,21 to 24,Female,,Percentage (%),Units,Normal value,20.81967213114754
2009,25 to 29,Female,,Percentage (%),Units,Normal value,19.50354609929078
2009,30 to 39,Female,,Percentage (%),Units,Normal value,19.036334913112167
2009,40 to 49,Female,,Percentage (%),Units,Normal value,16.584766584766587
2009,50 to 59,Female,,Percentage (%),Units,Normal value,12.23021582733813
2009,60 and over,Female,,Percentage (%),Units,Normal value,8.695652173913043
2010,,Female,,Percentage (%),Units,Normal value,18.420435903445043
2010,15 to 17,Female,,Percentage (%),Units,Normal value,17.857142857142858
2010,18 to 20,Female,,Percentage (%),Units,Normal value,22.78820375335121
2010,21 to 24,Female,,Percentage (%),Units,Normal value,21.90016103059581
2010,25 to 29,Female,,Percentage (%),Units,Normal value,17.761557177615572
2010,30 to 39,Female,,Percentage (%),Units,Normal value,17.91530944625407
2010,40 to 49,Female,,Percentage (%),Units,Normal value,17.861482381530987
2010,50 to 59,Female,,Percentage (%),Units,Normal value,12.944983818770226
2010,60 and over,Female,,Percentage (%),Units,Normal value,11.11111111111111
2011,,Female,,Percentage (%),Units,Normal value,17.8494623655914
2011,15 to 17,Female,,Percentage (%),Units,Normal value,30.434782608695656
2011,18 to 20,Female,,Percentage (%),Units,Normal value,23.14540059347181
2011,21 to 24,Female,,Percentage (%),Units,Normal value,18.374558303886925
2011,25 to 29,Female,,Percentage (%),Units,Normal value,18.341708542713565
2011,30 to 39,Female,,Percentage (%),Units,Normal value,17.535545023696685
2011,40 to 49,Female,,Percentage (%),Units,Normal value,16.50602409638554
2011,50 to 59,Female,,Percentage (%),Units,Normal value,14.473684210526317
2011,60 and over,Female,,Percentage (%),Units,Normal value,14.285714285714285
2012,,Female,,Percentage (%),Units,Normal value,15.352898374969682
2012,15 to 17,Female,,Percentage (%),Units,Normal value,33.33333333333333
2012,18 to 20,Female,,Percentage (%),Units,Normal value,20.557491289198605
2012,21 to 24,Female,,Percentage (%),Units,Normal value,15.77981651376147
2012,25 to 29,Female,,Percentage (%),Units,Normal value,13.5989010989011
2012,30 to 39,Female,,Percentage (%),Units,Normal value,15.590551181102365
2012,40 to 49,Female,,Percentage (%),Units,Normal value,15.402843601895736
2012,50 to 59,Female,,Percentage (%),Units,Normal value,13.256484149855908
2012,60 and over,Female,,Percentage (%),Units,Normal value,8.974358974358974
2013,,Female,,Percentage (%),Units,Normal value,15.59823514144822
2013,15 to 17,Female,,Percentage (%),Units,Normal value,0.0
2013,18 to 20,Female,,Percentage (%),Units,Normal value,22.872340425531917
2013,21 to 24,Female,,Percentage (%),Units,Normal value,15.835140997830802
2013,25 to 29,Female,,Percentage (%),Units,Normal value,18.507462686567163
2013,30 to 39,Female,,Percentage (%),Units,Normal value,15.342250196695517
2013,40 to 49,Female,,Percentage (%),Units,Normal value,14.251781472684083
2013,50 to 59,Female,,Percentage (%),Units,Normal value,11.890243902439025
2013,60 and over,Female,,Percentage (%),Units,Normal value,8.235294117647058
2014,,Female,,Percentage (%),Units,Normal value,17.663527615169254
2014,15 to 17,Female,,Percentage (%),Units,Normal value,0.0
2014,18 to 20,Female,,Percentage (%),Units,Normal value,26.785714285714285
2014,21 to 24,Female,,Percentage (%),Units,Normal value,20.57522123893805
2014,25 to 29,Female,,Percentage (%),Units,Normal value,18.023255813953487
2014,30 to 39,Female,,Percentage (%),Units,Normal value,18.361375274323336
2014,40 to 49,Female,,Percentage (%),Units,Normal value,16.768665850673194
2014,50 to 59,Female,,Percentage (%),Units,Normal value,9.67741935483871
2014,60 and over,Female,,Percentage (%),Units,Normal value,11.458333333333332
2015,,Female,,Percentage (%),Units,Normal value,16.03483606557377
2015,15 to 17,Female,,Percentage (%),Units,Normal value,0.0
2015,18 to 20,Female,,Percentage (%),Units,Normal value,22.807017543859647
2015,21 to 24,Female,,Percentage (%),Units,Normal value,19.672131147540984
2015,25 to 29,Female,,Percentage (%),Units,Normal value,17.655571635311144
2015,30 to 39,Female,,Percentage (%),Units,Normal value,15.609044493070751
2015,40 to 49,Female,,Percentage (%),Units,Normal value,15.834348355663824
2015,50 to 59,Female,,Percentage (%),Units,Normal value,10.471204188481677
2015,60 and over,Female,,Percentage (%),Units,Normal value,8.823529411764707
2016,,Female,,Percentage (%),Units,Normal value,13.568099430346969
2016,15 to 17,Female,,Percentage (%),Units,Normal value,0.0
2016,18 to 20,Female,,Percentage (%),Units,Normal value,25.0
2016,21 to 24,Female,,Percentage (%),Units,Normal value,16.80911680911681
2016,25 to 29,Female,,Percentage (%),Units,Normal value,13.174603174603176
2016,30 to 39,Female,,Percentage (%),Units,Normal value,13.783403656821378
2016,40 to 49,Female,,Percentage (%),Units,Normal value,11.858190709046456
2016,50 to 59,Female,,Percentage (%),Units,Normal value,11.842105263157894
2016,60 and over,Female,,Percentage (%),Units,Normal value,6.837606837606838
2016,60 to 69,Female,,Percentage (%),Units,Normal value,7.07070707070707
2016,70 and over,Female,,Percentage (%),Units,Normal value,5.555555555555555
2017,,Female,,Percentage (%),Units,Normal value,14.25006239081607
2017,15 to 17,Female,,Percentage (%),Units,Normal value,0.0
2017,18 to 20,Female,,Percentage (%),Units,Normal value,31.496062992125985
2017,21 to 24,Female,,Percentage (%),Units,Normal value,17.42857142857143
2017,25 to 29,Female,,Percentage (%),Units,Normal value,14.969135802469136
2017,30 to 39,Female,,Percentage (%),Units,Normal value,13.59289617486339
2017,40 to 49,Female,,Percentage (%),Units,Normal value,14.124293785310735
2017,50 to 59,Female,,Percentage (%),Units,Normal value,10.97852028639618
2017,60 and over,Female,,Percentage (%),Units,Normal value,2.631578947368421
2017,60 to 69,Female,,Percentage (%),Units,Normal value,3.0
2017,70 and over,Female,,Percentage (%),Units,Normal value,0.0
2018,,Female,,Percentage (%),Units,Normal value,14.015251117538783
2018,15 to 17,Female,,Percentage (%),Units,Normal value,0.0
2018,18 to 20,Female,,Percentage (%),Units,Normal value,21.21212121212121
2018,21 to 24,Female,,Percentage (%),Units,Normal value,20.74829931972789
2018,25 to 29,Female,,Percentage (%),Units,Normal value,14.017094017094015
2018,30 to 39,Female,,Percentage (%),Units,Normal value,14.147018030513175
2018,40 to 49,Female,,Percentage (%),Units,Normal value,13.059250302297462
2018,50 to 59,Female,,Percentage (%),Units,Normal value,10.16949152542373
2018,60 and over,Female,,Percentage (%),Units,Normal value,7.272727272727272
2018,60 to 69,Female,,Percentage (%),Units,Normal value,6.741573033707865
2018,70 and over,Female,,Percentage (%),Units,Normal value,9.523809523809524
2019,,Female,,Percentage (%),Units,Normal value,14.64190981432361
2019,15 to 17,Female,,Percentage (%),Units,Normal value,0.0
2019,18 to 20,Female,,Percentage (%),Units,Normal value,28.695652173913043
2019,21 to 24,Female,,Percentage (%),Units,Normal value,18.79194630872483
2019,25 to 29,Female,,Percentage (%),Units,Normal value,15.384615384615383
2019,30 to 39,Female,,Percentage (%),Units,Normal value,13.583815028901732
2019,40 to 49,Female,,Percentage (%),Units,Normal value,14.642857142857144
2019,50 to 59,Female,,Percentage (%),Units,Normal value,11.502347417840376
2019,60 and over,Female,,Percentage (%),Units,Normal value,10.655737704918032
2019,60 to 69,Female,,Percentage (%),Units,Normal value,8.88888888888889
2019,70 and over,Female,,Percentage (%),Units,Normal value,15.625
2020,,Female,,Percentage (%),Units,Normal value,18.433179723502302
2020,15 to 17,Female,,Percentage (%),Units,Normal value,0.0
2020,18 to 20,Female,,Percentage (%),Units,Normal value,33.33333333333333
2020,21 to 24,Female,,Percentage (%),Units,Normal value,20.689655172413797
2020,25 to 29,Female,,Percentage (%),Units,Normal value,21.428571428571427
2020,30 to 39,Female,,Percentage (%),Units,Normal value,19.46597760551249
2020,40 to 49,Female,,Percentage (%),Units,Normal value,17.402269861286253
2020,50 to 59,Female,,Percentage (%),Units,Normal value,12.806539509536783
2020,60 and over,Female,,Percentage (%),Units,Normal value,7.199999999999999
2020,60 to 69,Female,,Percentage (%),Units,Normal value,8.823529411764707
2020,70 and over,Female,,Percentage (%),Units,Normal value,0.0
2009,,Male,,Percentage (%),Units,Normal value,15.759192757068432
2009,15 to 17,Male,,Percentage (%),Units,Normal value,24.33349491032477
2009,18 to 20,Male,,Percentage (%),Units,Normal value,22.59369422962522
2009,21 to 24,Male,,Percentage (%),Units,Normal value,17.17422362583653
2009,25 to 29,Male,,Percentage (%),Units,Normal value,15.37830633586221
2009,30 to 39,Male,,Percentage (%),Units,Normal value,14.98556257035188
2009,40 to 49,Male,,Percentage (%),Units,Normal value,13.630095004596996
2009,50 to 59,Male,,Percentage (%),Units,Normal value,11.232876712328768
2009,60 and over,Male,,Percentage (%),Units,Normal value,6.270358306188925
2010,,Male,,Percentage (%),Units,Normal value,15.133461324084967
2010,15 to 17,Male,,Percentage (%),Units,Normal value,28.624078624078624
2010,18 to 20,Male,,Percentage (%),Units,Normal value,21.95003046922608
2010,21 to 24,Male,,Percentage (%),Units,Normal value,15.776752362118216
2010,25 to 29,Male,,Percentage (%),Units,Normal value,15.446716899892357
2010,30 to 39,Male,,Percentage (%),Units,Normal value,14.672256097560975
