Year,Series,Units,Observation status,Unit multiplier,Value
2000,Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,71.91938
2001,Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,77.06719
2002,Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,77.20172
2003,Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.51283
2004,Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.51283
2005,Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.5154
2006,Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.51737
2007,Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.61799
2008,Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.74688
2009,Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.74688
2010,Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.74688
2011,Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.75
2012,Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.75035
2013,Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.75035
2014,Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.75038
2015,Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.75038
2016,Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.75038
2017,Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.75046
2018,Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.75046
2019,Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.75046
2020,Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.75046
2021,Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.75046
2022,Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Normal,Units,79.75046
