Year,Size of particulate matter,Local Authority,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2013,PM 10,Carlisle,Undefined,Units,microgram/m3,E07000028,16.44821375
2013,,Carlisle,Undefined,Units,microgram/m3,E07000028,11.69599761
2014,PM 10,Carlisle,Undefined,Units,microgram/m3,E07000028,16.0
2014,,Carlisle,Undefined,Units,microgram/m3,E07000028,11.0
2013,PM 10,Chepstow,Undefined,Units,microgram/m3,,19.3924669
2013,,Chepstow,Undefined,Units,microgram/m3,,14.14664472
2015,PM 10,Chepstow,Undefined,Units,microgram/m3,,14.0
2015,,Chepstow,Undefined,Units,microgram/m3,,10.0
2011,PM 10,Chesterfield,Undefined,Units,microgram/m3,E07000034,21.847
2013,PM 10,Chesterfield,Undefined,Units,microgram/m3,E07000034,16.61655092
2013,,Chesterfield,Undefined,Units,microgram/m3,E07000034,10.21236298
2016,PM 10,Chesterfield,Undefined,Units,microgram/m3,E07000034,16.0
2016,,Chesterfield,Undefined,Units,microgram/m3,E07000034,11.0
2008,PM 10,City of Edinburgh,Undefined,Units,microgram/m3,S12000036,15.269
2011,PM 10,City of Edinburgh,Undefined,Units,microgram/m3,S12000036,15.378
2013,PM 10,City of Edinburgh,Undefined,Units,microgram/m3,S12000036,13.53648125
2013,,City of Edinburgh,Undefined,Units,microgram/m3,S12000036,7.51643883
2015,PM 10,City of Edinburgh,Undefined,Units,microgram/m3,S12000036,9.0
2015,,City of Edinburgh,Undefined,Units,microgram/m3,S12000036,6.0
2008,PM 10,City of London,Undefined,Units,microgram/m3,E09000001,28.66916667
2011,PM 10,City of London,Undefined,Units,microgram/m3,E09000001,21.80933333
2013,,City of London,Undefined,Units,microgram/m3,E09000001,15.02996603
2016,PM 10,City of London,Undefined,Units,microgram/m3,E09000001,23.0
2016,,City of London,Undefined,Units,microgram/m3,E09000001,12.0
2008,PM 10,Coventry,Undefined,Units,microgram/m3,E08000026,17.77180874
2016,PM 10,Coventry,Undefined,Units,microgram/m3,E08000026,15.0
2016,,Coventry,Undefined,Units,microgram/m3,E08000026,10.0
2008,PM 10,Derry,Undefined,Units,microgram/m3,,23.248
2011,PM 10,Derry,Undefined,Units,microgram/m3,,18.511
2015,PM 10,Didcot,Undefined,Units,microgram/m3,,15.0
2015,,Didcot,Undefined,Units,microgram/m3,,8.0
2013,PM 10,Eastbourne,Undefined,Units,microgram/m3,E07000061,21.4814948
2013,,Eastbourne,Undefined,Units,microgram/m3,E07000061,15.27506364
