Year,Units,Material category,Observation status,Unit multiplier,Unit measure,Value
2008,Material footprint (Million metric tonnes),,Undefined,Units,Million metric tonnes,847.1514
2009,Material footprint (Million metric tonnes),,Undefined,Units,Million metric tonnes,713.705
2010,Material footprint (Million metric tonnes),,Undefined,Units,Million metric tonnes,726.587
2011,Material footprint (Million metric tonnes),,Undefined,Units,Million metric tonnes,719.7539
2012,Material footprint (Million metric tonnes),,Undefined,Units,Million metric tonnes,681.1585
2013,Material footprint (Million metric tonnes),,Undefined,Units,Million metric tonnes,765.9803
2014,Material footprint (Million metric tonnes),,Undefined,Units,Million metric tonnes,769.8665
2015,Material footprint (Million metric tonnes),,Undefined,Units,Million metric tonnes,780.2706999999999
2016,Material footprint (Million metric tonnes),,Undefined,Units,Million metric tonnes,729.2763
2017,Material footprint (Million metric tonnes),,Undefined,Units,Million metric tonnes,736.3359
2008,Material footprint per capita (Tonnes),,Undefined,Units,Material footprint per capita (Tonnes),13.7
2009,Material footprint per capita (Tonnes),,Undefined,Units,Material footprint per capita (Tonnes),11.5
2010,Material footprint per capita (Tonnes),,Undefined,Units,Material footprint per capita (Tonnes),11.6
2011,Material footprint per capita (Tonnes),,Undefined,Units,Material footprint per capita (Tonnes),11.4
2012,Material footprint per capita (Tonnes),,Undefined,Units,Material footprint per capita (Tonnes),10.7
2013,Material footprint per capita (Tonnes),,Undefined,Units,Material footprint per capita (Tonnes),11.9
2014,Material footprint per capita (Tonnes),,Undefined,Units,Material footprint per capita (Tonnes),11.9
2015,Material footprint per capita (Tonnes),,Undefined,Units,Material footprint per capita (Tonnes),12.0
2016,Material footprint per capita (Tonnes),,Undefined,Units,Material footprint per capita (Tonnes),11.1
2017,Material footprint per capita (Tonnes),,Undefined,Units,Material footprint per capita (Tonnes),11.1
2008,Material footprint per GDP (Tonnes per £m),,Undefined,Units,Tonnes of Material Footprint per GDP (£m),467.0
2009,Material footprint per GDP (Tonnes per £m),,Undefined,Units,Tonnes of Material Footprint per GDP (£m),393.0
2010,Material footprint per GDP (Tonnes per £m),,Undefined,Units,Tonnes of Material Footprint per GDP (£m),400.0
2011,Material footprint per GDP (Tonnes per £m),,Undefined,Units,Tonnes of Material Footprint per GDP (£m),397.0
2012,Material footprint per GDP (Tonnes per £m),,Undefined,Units,Tonnes of Material Footprint per GDP (£m),375.0
2013,Material footprint per GDP (Tonnes per £m),,Undefined,Units,Tonnes of Material Footprint per GDP (£m),422.0
2014,Material footprint per GDP (Tonnes per £m),,Undefined,Units,Tonnes of Material Footprint per GDP (£m),424.0
2015,Material footprint per GDP (Tonnes per £m),,Undefined,Units,Tonnes of Material Footprint per GDP (£m),430.0
2016,Material footprint per GDP (Tonnes per £m),,Undefined,Units,Tonnes of Material Footprint per GDP (£m),402.0
2017,Material footprint per GDP (Tonnes per £m),,Undefined,Units,Tonnes of Material Footprint per GDP (£m),406.0
2008,Material footprint (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,198.2213
2009,Material footprint (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,189.0115
2010,Material footprint (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,186.5766
2011,Material footprint (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,190.8936
2012,Material footprint (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,183.9892
2013,Material footprint (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,193.6239
2014,Material footprint (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,207.4374
2015,Material footprint (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,206.3617
2016,Material footprint (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,193.3899
2017,Material footprint (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,213.284
2008,Material footprint (Million metric tonnes),Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,83.9489
2009,Material footprint (Million metric tonnes),Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,43.3942
2010,Material footprint (Million metric tonnes),Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,68.11330000000001
2011,Material footprint (Million metric tonnes),Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,66.1541
2012,Material footprint (Million metric tonnes),Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,50.6117
2013,Material footprint (Million metric tonnes),Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,100.907
2014,Material footprint (Million metric tonnes),Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,91.7047
2015,Material footprint (Million metric tonnes),Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,92.9516
2016,Material footprint (Million metric tonnes),Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,66.19919999999999
2017,Material footprint (Million metric tonnes),Metal ores excluding precious metals,Undefined,Units,Million metric tonnes,73.4321
2008,Material footprint (Million metric tonnes),Non-metallic minerals,Undefined,Units,Million metric tonnes,288.7147
2009,Material footprint (Million metric tonnes),Non-metallic minerals,Undefined,Units,Million metric tonnes,239.9092
2010,Material footprint (Million metric tonnes),Non-metallic minerals,Undefined,Units,Million metric tonnes,231.3202
2011,Material footprint (Million metric tonnes),Non-metallic minerals,Undefined,Units,Million metric tonnes,231.1939
2012,Material footprint (Million metric tonnes),Non-metallic minerals,Undefined,Units,Million metric tonnes,213.1983
2013,Material footprint (Million metric tonnes),Non-metallic minerals,Undefined,Units,Million metric tonnes,229.0438
2014,Material footprint (Million metric tonnes),Non-metallic minerals,Undefined,Units,Million metric tonnes,241.3646
2015,Material footprint (Million metric tonnes),Non-metallic minerals,Undefined,Units,Million metric tonnes,260.4413
2016,Material footprint (Million metric tonnes),Non-metallic minerals,Undefined,Units,Million metric tonnes,264.4014
2017,Material footprint (Million metric tonnes),Non-metallic minerals,Undefined,Units,Million metric tonnes,244.87920000000005
2008,Material footprint (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,276.2666
2009,Material footprint (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,241.3901
2010,Material footprint (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,240.5768
2011,Material footprint (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,231.5124
2012,Material footprint (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,233.3593
2013,Material footprint (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,242.4056
2014,Material footprint (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,229.3598
2015,Material footprint (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,220.5161
2016,Material footprint (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,205.2857
2017,Material footprint (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,204.7406
2008,Material footprint per capita (Tonnes),Biomass,Undefined,Units,Material footprint per capita (Tonnes),3.2
2009,Material footprint per capita (Tonnes),Biomass,Undefined,Units,Material footprint per capita (Tonnes),3.0
2010,Material footprint per capita (Tonnes),Biomass,Undefined,Units,Material footprint per capita (Tonnes),3.0
2011,Material footprint per capita (Tonnes),Biomass,Undefined,Units,Material footprint per capita (Tonnes),3.0
2012,Material footprint per capita (Tonnes),Biomass,Undefined,Units,Material footprint per capita (Tonnes),2.9
2013,Material footprint per capita (Tonnes),Biomass,Undefined,Units,Material footprint per capita (Tonnes),3.0
2014,Material footprint per capita (Tonnes),Biomass,Undefined,Units,Material footprint per capita (Tonnes),3.2
2015,Material footprint per capita (Tonnes),Biomass,Undefined,Units,Material footprint per capita (Tonnes),3.2
2016,Material footprint per capita (Tonnes),Biomass,Undefined,Units,Material footprint per capita (Tonnes),2.9
2017,Material footprint per capita (Tonnes),Biomass,Undefined,Units,Material footprint per capita (Tonnes),3.2
2008,Material footprint per capita (Tonnes),Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),1.4
2009,Material footprint per capita (Tonnes),Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.7
2010,Material footprint per capita (Tonnes),Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),1.1
2011,Material footprint per capita (Tonnes),Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),1.0
2012,Material footprint per capita (Tonnes),Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),0.8
2013,Material footprint per capita (Tonnes),Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),1.6
2014,Material footprint per capita (Tonnes),Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),1.4
2015,Material footprint per capita (Tonnes),Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),1.4
2016,Material footprint per capita (Tonnes),Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),1.0
2017,Material footprint per capita (Tonnes),Metal ores excluding precious metals,Undefined,Units,Material footprint per capita (Tonnes),1.1
2008,Material footprint per capita (Tonnes),Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),4.7
2009,Material footprint per capita (Tonnes),Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),3.9
2010,Material footprint per capita (Tonnes),Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),3.7
2011,Material footprint per capita (Tonnes),Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),3.7
2012,Material footprint per capita (Tonnes),Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),3.3
2013,Material footprint per capita (Tonnes),Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),3.6
2014,Material footprint per capita (Tonnes),Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),3.7
2015,Material footprint per capita (Tonnes),Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),4.0
2016,Material footprint per capita (Tonnes),Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),4.0
2017,Material footprint per capita (Tonnes),Non-metallic minerals,Undefined,Units,Material footprint per capita (Tonnes),3.7
2008,Material footprint per capita (Tonnes),Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),4.5
2009,Material footprint per capita (Tonnes),Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),3.9
2010,Material footprint per capita (Tonnes),Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),3.8
2011,Material footprint per capita (Tonnes),Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),3.7
2012,Material footprint per capita (Tonnes),Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),3.7
2013,Material footprint per capita (Tonnes),Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),3.8
2014,Material footprint per capita (Tonnes),Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),3.6
2015,Material footprint per capita (Tonnes),Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),3.4
2016,Material footprint per capita (Tonnes),Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),3.1
2017,Material footprint per capita (Tonnes),Fossil fuels,Undefined,Units,Material footprint per capita (Tonnes),3.1
2008,Material footprint per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),109.0
2009,Material footprint per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),104.0
2010,Material footprint per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),103.0
2011,Material footprint per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),105.0
2012,Material footprint per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),101.0
2013,Material footprint per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),107.0
2014,Material footprint per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),114.0
2015,Material footprint per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),114.0
2016,Material footprint per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),107.0
2017,Material footprint per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of Material Footprint per GDP (£m),118.0
2008,Material footprint per GDP (Tonnes per £m),Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),46.0
2009,Material footprint per GDP (Tonnes per £m),Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),24.0
2010,Material footprint per GDP (Tonnes per £m),Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),38.0
2011,Material footprint per GDP (Tonnes per £m),Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),36.0
2012,Material footprint per GDP (Tonnes per £m),Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),28.0
2013,Material footprint per GDP (Tonnes per £m),Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),56.0
2014,Material footprint per GDP (Tonnes per £m),Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),51.0
2015,Material footprint per GDP (Tonnes per £m),Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),51.0
2016,Material footprint per GDP (Tonnes per £m),Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),36.0
2017,Material footprint per GDP (Tonnes per £m),Metal ores excluding precious metals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),40.0
2008,Material footprint per GDP (Tonnes per £m),Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),159.0
2009,Material footprint per GDP (Tonnes per £m),Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),132.0
2010,Material footprint per GDP (Tonnes per £m),Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),127.0
2011,Material footprint per GDP (Tonnes per £m),Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),127.0
2012,Material footprint per GDP (Tonnes per £m),Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),117.0
2013,Material footprint per GDP (Tonnes per £m),Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),126.0
2014,Material footprint per GDP (Tonnes per £m),Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),133.0
2015,Material footprint per GDP (Tonnes per £m),Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),144.0
2016,Material footprint per GDP (Tonnes per £m),Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),146.0
2017,Material footprint per GDP (Tonnes per £m),Non-metallic minerals,Undefined,Units,Tonnes of Material Footprint per GDP (£m),135.0
2008,Material footprint per GDP (Tonnes per £m),Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),152.0
2009,Material footprint per GDP (Tonnes per £m),Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),133.0
2010,Material footprint per GDP (Tonnes per £m),Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),133.0
2011,Material footprint per GDP (Tonnes per £m),Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),128.0
2012,Material footprint per GDP (Tonnes per £m),Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),129.0
2013,Material footprint per GDP (Tonnes per £m),Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),134.0
2014,Material footprint per GDP (Tonnes per £m),Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),126.0
2015,Material footprint per GDP (Tonnes per £m),Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),122.0
2016,Material footprint per GDP (Tonnes per £m),Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),113.0
2017,Material footprint per GDP (Tonnes per £m),Fossil fuels,Undefined,Units,Tonnes of Material Footprint per GDP (£m),113.0
