Year,Observation status,Unit multiplier,Unit measure,Value
2000,Undefined,Units,Percentage (%),100.0
2001,Undefined,Units,Percentage (%),100.0
2002,Undefined,Units,Percentage (%),100.0
2003,Undefined,Units,Percentage (%),100.0
2004,Undefined,Units,Percentage (%),100.0
2005,Undefined,Units,Percentage (%),100.0
2006,Undefined,Units,Percentage (%),100.0
2007,Undefined,Units,Percentage (%),100.0
2008,Undefined,Units,Percentage (%),100.0
2009,Undefined,Units,Percentage (%),100.0
2010,Undefined,Units,Percentage (%),100.0
2011,Undefined,Units,Percentage (%),100.0
2012,Undefined,Units,Percentage (%),100.0
2013,Undefined,Units,Percentage (%),100.0
2014,Undefined,Units,Percentage (%),100.0
2015,Undefined,Units,Percentage (%),100.0
2016,Undefined,Units,Percentage (%),100.0
