Year,Flow of Official Development Assistance (ODA),Unit measure,Unit multiplier,Observation status,Value
2010,,GBP (£),Thousands,Undefined,95949.6508003
2011,,GBP (£),Thousands,Undefined,72678.00437849708
2012,,GBP (£),Thousands,Undefined,87684.06863128021
2013,,GBP (£),Thousands,Undefined,116742.79443489836
2014,,GBP (£),Thousands,Undefined,114929.42927026584
2015,,GBP (£),Thousands,Undefined,159683.70607039524
2016,,GBP (£),Thousands,Undefined,154847.00151382477
2017,,GBP (£),Thousands,Undefined,153418.8620016522
2009,Bilateral,GBP (£),Thousands,Undefined,36920.49000000001
2010,Bilateral,GBP (£),Thousands,Undefined,59094.60585999998
2011,Bilateral,GBP (£),Thousands,Undefined,47196.20855799996
2012,Bilateral,GBP (£),Thousands,Undefined,55339.385562
2013,Bilateral,GBP (£),Thousands,Undefined,75738.98788160701
2014,Bilateral,GBP (£),Thousands,Undefined,74854.59222000004
2015,Bilateral,GBP (£),Thousands,Undefined,121959.69717400002
2016,Bilateral,GBP (£),Thousands,Undefined,112284.79866256593
2017,Bilateral,GBP (£),Thousands,Undefined,110433.98543549996
2010,Multilateral,GBP (£),Thousands,Undefined,36855.04494033752
2011,Multilateral,GBP (£),Thousands,Undefined,25481.79582049712
2012,Multilateral,GBP (£),Thousands,Undefined,32344.68306928021
2013,Multilateral,GBP (£),Thousands,Undefined,41003.80655329136
2014,Multilateral,GBP (£),Thousands,Undefined,40074.83705026581
2015,Multilateral,GBP (£),Thousands,Undefined,37724.00889639522
2016,Multilateral,GBP (£),Thousands,Undefined,42562.20285125884
2017,Multilateral,GBP (£),Thousands,Undefined,42984.87656615224
