Year,Series,Activity (default),Industry higher sub-category,Industry middle sub-category,Industry lower sub-category,Observation status,Unit multiplier,Units,Value
2000,Manufacturing value added as a proportion of GDP,Manufacturing,,,,Normal value,Units,Percentage (%),9.291055254026706
2000,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",,,Normal value,Units,Percentage (%),1.6467510155476646
2000,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,,Normal value,Units,Percentage (%),1.2651103231011518
2000,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Processing and preserving of meat and production of meat products,Normal value,Units,Percentage (%),0.265323540490105
2000,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,"Processing and preserving of fish, crustaceans, molluscs, fruit and vegetables",Normal value,Units,Percentage (%),0.1196966782942854
2000,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of vegetable and animal oils and fats,Normal value,Units,Percentage (%),0.0146855780864138
2000,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of dairy products,Normal value,Units,Percentage (%),0.4934722912635557
2000,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,"Manufacture of grain mill products, starches and starch products",Normal value,Units,Percentage (%),0.0950568589944864
2000,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of bakery and farinaceous products,Normal value,Units,Percentage (%),0.1819414088446505
2000,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of other food products,Normal value,Units,Percentage (%),0.4492926651374822
2000,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of prepared animal feeds,Normal value,Units,Percentage (%),0.0683893238919608
2000,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,,Normal value,Units,Percentage (%),0.2300535747093453
2000,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,Manufacture of alcoholic beverages,Normal value,Units,Percentage (%),0.188516123720158
2000,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,Manufacture of soft drinks; production of mineral waters and other bottled waters,Normal value,Units,Percentage (%),0.0436266127253299
2000,Manufacturing value added as a proportion of GDP,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of tobacco products,,Normal value,Units,Percentage (%),0.1589606297470824
