Year,Age,Sex,Country,Region,Police Force Area,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2016/17,75 and over,,,,,"Rate per 100,000 population",Units,Undefined,,0.7576557961299784
2017/18,,,,,,"Rate per 100,000 population",Units,Undefined,,1.1984081258880073
2017/18,,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.6677432914423094
2017/18,,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.7401590305693081
2017/18,Under 1,Male,,,,"Rate per 100,000 population",Units,Undefined,,2.2754293450745484
2017/18,Under 1,Female,,,,"Rate per 100,000 population",Units,Undefined,,2.691548537591961
2017/18,Under 1,,,,,"Rate per 100,000 population",Units,Undefined,,2.478271391126622
2017/18,1 to 4,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.4757816923282921
2017/18,1 to 4,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.5720786980060912
2017/18,1 to 4,,,,,"Rate per 100,000 population",Units,Undefined,,0.5227078216604546
2017/18,5 to 15,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.3576411826887362
2017/18,5 to 15,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.5097853293977905
2017/18,5 to 15,,,,,"Rate per 100,000 population",Units,Undefined,,0.4318469032062276
2017/18,16 to 24,Male,,,,"Rate per 100,000 population",Units,Undefined,,3.613170888408887
2017/18,16 to 24,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.9304396872952632
2017/18,16 to 24,,,,,"Rate per 100,000 population",Units,Undefined,,2.3087799782600285
2017/18,25 to 34,Male,,,,"Rate per 100,000 population",Units,Undefined,,2.4190672375997866
2017/18,25 to 34,Female,,,,"Rate per 100,000 population",Units,Undefined,,1.0330617556758557
2017/18,25 to 34,,,,,"Rate per 100,000 population",Units,Undefined,,1.7296278354772994
2017/18,35 to 44,Male,,,,"Rate per 100,000 population",Units,Undefined,,2.3796711186347177
2017/18,35 to 44,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.7485802373747933
2017/18,35 to 44,,,,,"Rate per 100,000 population",Units,Undefined,,1.5594743173401175
2017/18,45 to 54,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.6572979858882313
2017/18,45 to 54,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.8680850694431884
2017/18,45 to 54,,,,,"Rate per 100,000 population",Units,Undefined,,1.2576644268029535
2017/18,55 to 64,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.2148788884273007
2017/18,55 to 64,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.4882718536838818
2017/18,55 to 64,,,,,"Rate per 100,000 population",Units,Undefined,,0.8459139947573752
2017/18,65 to 74,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.8867455657401241
2017/18,65 to 74,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.3957124555441788
2017/18,65 to 74,,,,,"Rate per 100,000 population",Units,Undefined,,0.6322837593815103
2017/18,75 and over,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.8798862404856189
2017/18,75 and over,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.7564138491451443
2017/18,75 and over,,,,,"Rate per 100,000 population",Units,Undefined,,0.8087968897404529
2018/19,,,,,,"Rate per 100,000 population",Units,Undefined,,1.135060166393054
2018/19,,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.4684111390999175
2018/19,,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.8060050250567231
2018/19,Under 1,Male,,,,"Rate per 100,000 population",Units,Undefined,,4.36500776971383
2018/19,Under 1,Female,,,,"Rate per 100,000 population",Units,Undefined,,4.292437644678143
2018/19,Under 1,,,,,"Rate per 100,000 population",Units,Undefined,,4.478969001055543
2018/19,1 to 4,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.4112729927307498
2018/19,1 to 4,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.9374450152442982
2018/19,1 to 4,,,,,"Rate per 100,000 population",Units,Undefined,,0.6676897547926947
2018/19,5 to 15,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.3255213223978201
2018/19,5 to 15,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.1578057427087829
2018/19,5 to 15,,,,,"Rate per 100,000 population",Units,Undefined,,0.2437229475545416
2018/19,16 to 24,Male,,,,"Rate per 100,000 population",Units,Undefined,,2.938599793930689
2018/19,16 to 24,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.5510074035947723
2018/19,16 to 24,,,,,"Rate per 100,000 population",Units,Undefined,,1.7789336473492312
2018/19,25 to 34,Male,,,,"Rate per 100,000 population",Units,Undefined,,2.3603762887033386
2018/19,25 to 34,Female,,,,"Rate per 100,000 population",Units,Undefined,,1.0318307193621776
2018/19,25 to 34,,,,,"Rate per 100,000 population",Units,Undefined,,1.7003609016013648
2018/19,35 to 44,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.8885766741894967
2018/19,35 to 44,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.9855205719428686
2018/19,35 to 44,,,,,"Rate per 100,000 population",Units,Undefined,,1.434151791697896
2018/19,45 to 54,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.7663651240908815
2018/19,45 to 54,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.8731561246808737
2018/19,45 to 54,,,,,"Rate per 100,000 population",Units,Undefined,,1.3140882045477769
2018/19,55 to 64,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.8399766312708238
2018/19,55 to 64,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.5326436252510083
2018/19,55 to 64,,,,,"Rate per 100,000 population",Units,Undefined,,0.6838006208339803
2018/19,65 to 74,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.4920242863187727
2018/19,65 to 74,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.7839192040607015
2018/19,65 to 74,,,,,"Rate per 100,000 population",Units,Undefined,,0.6433123952077967
2018/19,75 and over,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.9507637485191852
2018/19,75 and over,Female,,,,"Rate per 100,000 population",Units,Undefined,,1.205354895478005
2018/19,75 and over,,,,,"Rate per 100,000 population",Units,Undefined,,1.096598554358187
2018/19,,,England,,,,,,E92000001,1.1594010687712768
2018/19,,,England,North East,,,,,E12000001,1.3920717375952298
2018/19,,,England,North East,Cleveland,,,,E23000013,2.642156845476099
2018/19,,,England,North East,Durham,,,,E23000008,1.262733881991205
2018/19,,,England,North East,Northumbria,,,,E23000007,0.9611126938959046
2018/19,,,England,North West,,,,,E12000002,1.7278989722155216
2018/19,,,England,North West,Cheshire,,,,E23000006,1.793686412636615
2018/19,,,England,North West,Cumbria,,,,E23000002,0.8017831657606516
2018/19,,,England,North West,Greater Manchester,,,,E23000005,2.2399450466815214
2018/19,,,England,North West,Lancashire,,,,E23000003,1.2013615430821598
2018/19,,,England,North West,Merseyside,,,,E23000004,1.5459588985745556
2018/19,,,England,Yorkshire and the Humber,,,,,E12000003,1.2957114687801972
2018/19,,,England,Yorkshire and the Humber,Humberside,,,,E23000012,1.072863526395125
2018/19,,,England,Yorkshire and the Humber,North Yorkshire,,,,E23000009,0.3639019017513386
2018/19,,,England,Yorkshire and the Humber,South Yorkshire,,,,E23000011,1.56816007778074
2018/19,,,England,Yorkshire and the Humber,West Yorkshire,,,,E23000010,1.5515810179578264
2018/19,,,England,East Midlands,,,,,E12000004,0.915875007207312
2018/19,,,England,East Midlands,Derbyshire,,,,E23000018,0.5696296268166438
2018/19,,,England,East Midlands,Leicestershire,,,,E23000021,0.5488559554987591
2018/19,,,England,East Midlands,Lincolnshire,,,,E23000020,0.7938261494271883
2018/19,,,England,East Midlands,Northamptonshire,,,,E23000022,2.2738763706793006
2018/19,,,England,East Midlands,Nottinghamshire,,,,E23000019,0.779764251274698
2018/19,,,England,West Midlands,,,,,E12000005,1.2371294055999933
2018/19,,,England,West Midlands,Staffordshire,,,,E23000015,0.6188928537326313
2018/19,,,England,West Midlands,Warwickshire,,,,E23000017,0.3502565629323479
2018/19,,,England,West Midlands,West Mercia,,,,E23000016,1.091841835791667
2018/19,,,England,West Midlands,West Midlands,,,,E23000014,1.714408367958668
2018/19,,,England,East of England,,,,,E12000006,0.9514266077577712
2018/19,,,England,East of England,Bedfordshire,,,,E23000026,0.8964080927722614
2018/19,,,England,East of England,Cambridgeshire,,,,E23000023,1.1729888812383948
2018/19,,,England,East of England,Essex,,,,E23000028,0.8730040943892028
2018/19,,,England,East of England,Hertfordshire,,,,E23000027,1.0976345974425112
2018/19,,,England,East of England,Norfolk,,,,E23000024,0.7746104815864023
2018/19,,,England,East of England,Suffolk,,,,E23000025,0.9228059629084736
2018/19,,,England,London,,,,,E12000007,1.4144460518488775
2018/19,,,England,London,City of London,,,,E23000034,
2018/19,,,England,London,Metropolitan Police,,,,E23000001,1.4045930191726947
2018/19,,,England,South East,,,,,E12000008,0.7116561058725315
2018/19,,,England,South East,Hampshire,,,,E23000030,0.5035796962709419
2018/19,,,England,South East,Kent,,,,E23000032,1.0289859938759087
2018/19,,,England,South East,Surrey,,,,E23000031,0.4201913719584447
2018/19,,,England,South East,Sussex,,,,E23000033,0.9390569637823336
2018/19,,,England,South East,Thames Valley,,,,E23000029,0.6230288923418534
2018/19,,,England,South West,,,,,E12000009,0.7500354927509962
2018/19,,,England,South West,Avon and Somerset,,,,E23000036,0.5842920104494783
2018/19,,,England,South West,Devon and Cornwall,,,,E23000035,1.0780900330009031
2018/19,,,England,South West,Dorset,,,,E23000039,0.5179549068458099
2018/19,,,England,South West,Gloucestershire,,,,E23000037,1.2627099649913665
2018/19,,,England,South West,Wiltshire,,,,E23000038,0.1388773157792406
2018/19,,,Wales,,,,,,W92000004,0.700942544695442
2018/19,,,Wales,,Dyfed-Powys,,,,W15000004,0.9651354471086472
2018/19,,,Wales,,Gwent,,,,W15000002,0.3382806884012009
2018/19,,,Wales,,North Wales,,,,W15000001,0.7159538868420563
2018/19,,,Wales,,South Wales,,,,W15000003,0.751328913014895
