Year,Age,Sex,Country,Region,Police Force Area,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2008/09,75 and over,,,,,"Rate per 100,000 population",Units,Undefined,,0.7799758916542577
2009/10,,,,,,"Rate per 100,000 population",Units,Undefined,,1.077209682938266
2009/10,,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.482202508683052
2009/10,,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.6865029256407065
2009/10,Under 1,Male,,,,"Rate per 100,000 population",Units,Undefined,,2.520302436292355
2009/10,Under 1,Female,,,,"Rate per 100,000 population",Units,Undefined,,3.2286469034341065
2009/10,Under 1,,,,,"Rate per 100,000 population",Units,Undefined,,2.866150759529951
2009/10,1 to 4,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.4366812227074235
2009/10,1 to 4,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.761788679820218
2009/10,1 to 4,,,,,"Rate per 100,000 population",Units,Undefined,,0.5955261100978896
2009/10,5 to 15,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.1930981214311329
2009/10,5 to 15,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.0869212493480906
2009/10,5 to 15,,,,,"Rate per 100,000 population",Units,Undefined,,0.1413127958736663
2009/10,16 to 24,Male,,,,"Rate per 100,000 population",Units,Undefined,,2.7662096847736874
2009/10,16 to 24,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.6158014656074882
2009/10,16 to 24,,,,,"Rate per 100,000 population",Units,Undefined,,1.6978967495219883
2009/10,25 to 34,Male,,,,"Rate per 100,000 population",Units,Undefined,,2.3776338443879643
2009/10,25 to 34,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.8749863283386198
2009/10,25 to 34,,,,,"Rate per 100,000 population",Units,Undefined,,1.6265052007162093
2009/10,35 to 44,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.8962075848303392
2009/10,35 to 44,Female,,,,"Rate per 100,000 population",Units,Undefined,,1.1564391516165542
2009/10,35 to 44,,,,,"Rate per 100,000 population",Units,Undefined,,1.5237481727410125
2009/10,45 to 54,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.661944202266783
2009/10,45 to 54,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.5633500549936958
2009/10,45 to 54,,,,,"Rate per 100,000 population",Units,Undefined,,1.1083926954217975
2009/10,55 to 64,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.2493362900958866
2009/10,55 to 64,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.4847456600115126
2009/10,55 to 64,,,,,"Rate per 100,000 population",Units,Undefined,,0.8612204724409448
2009/10,65 to 74,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.5354513408593994
2009/10,65 to 74,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.41023957991467
2009/10,65 to 74,,,,,"Rate per 100,000 population",Units,Undefined,,0.4702160856648213
2009/10,75 and over,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.766690257136117
2009/10,75 and over,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.8937244997085682
2009/10,75 and over,,,,,"Rate per 100,000 population",Units,Undefined,,0.8432690731067437
2010/11,,,,,,"Rate per 100,000 population",Units,Undefined,,1.134806786575523
2010/11,,Male,,,,"Rate per 100,000 population",Units,Undefined,,1.5782147906490775
2010/11,,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.7062246641901722
2010/11,Under 1,Male,,,,"Rate per 100,000 population",Units,Undefined,,2.760143527463428
2010/11,Under 1,Female,,,,"Rate per 100,000 population",Units,Undefined,,2.027809965237544
2010/11,Under 1,,,,,"Rate per 100,000 population",Units,Undefined,,2.402826855123675
2010/11,1 to 4,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.6397952655150353
2010/11,1 to 4,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.521687285735579
2010/11,1 to 4,,,,,"Rate per 100,000 population",Units,Undefined,,0.5821357103874841
2010/11,5 to 15,Male,,,,"Rate per 100,000 population",Units,Undefined,,0.4149262814306659
2010/11,5 to 15,Female,,,,"Rate per 100,000 population",Units,Undefined,,0.2322475759159263
2010/11,5 to 15,,,,,"Rate per 100,000 population",Units,Undefined,,0.3257928807173109
