Year,Series,Units,Unit multiplier,Observation status,Value
2000,Red List Index,Index,Units,Estimated value,0.96508
2001,Red List Index,Index,Units,Estimated value,0.96464
2002,Red List Index,Index,Units,Estimated value,0.964
2003,Red List Index,Index,Units,Estimated value,0.96362
2004,Red List Index,Index,Units,Estimated value,0.96343
2005,Red List Index,Index,Units,Estimated value,0.96332
2006,Red List Index,Index,Units,Estimated value,0.96331
2007,Red List Index,Index,Units,Estimated value,0.96342
2008,Red List Index,Index,Units,Estimated value,0.96351
2009,Red List Index,Index,Units,Estimated value,0.96359
2010,Red List Index,Index,Units,Estimated value,0.96366
2011,Red List Index,Index,Units,Estimated value,0.96363
2012,Red List Index,Index,Units,Estimated value,0.96351
2013,Red List Index,Index,Units,Estimated value,0.96311
2014,Red List Index,Index,Units,Estimated value,0.96268
2015,Red List Index,Index,Units,Estimated value,0.96225
2016,Red List Index,Index,Units,Estimated value,0.96218
2017,Red List Index,Index,Units,Estimated value,0.9619
2018,Red List Index,Index,Units,Estimated value,0.96188
2019,Red List Index,Index,Units,Estimated value,0.96194
2020,Red List Index,Index,Units,Estimated value,0.96202
2021,Red List Index,Index,Units,Estimated value,0.96202
2022,Red List Index,Index,Units,Estimated value,0.9621
2023,Red List Index,Index,Units,Estimated value,0.96214
