Year,Sex,Unit measure,Observation status,Unit multiplier,Value
2010-2018,,Percentage (%),Undefined,Units,100.0
2010-2018,Male,Percentage (%),Undefined,Units,100.0
2010-2018,Female,Percentage (%),Undefined,Units,100.0
