Year,Series,Units,Unit multiplier,Observation status,Value
2000,1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Units,Normal value,74.15274000000001
2001,1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Units,Normal value,75.6432
2002,1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Units,Normal value,75.67926999999999
2003,1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Units,Normal value,76.77620999999999
2004,1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Units,Normal value,77.09212
2005,1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Units,Normal value,79.36199
2006,1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Units,Normal value,79.9189
2007,1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Units,Normal value,79.94205
2008,1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Units,Normal value,79.96974
2009,1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Units,Normal value,79.97629
2010,1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Units,Normal value,80.40163000000001
2011,1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Units,Normal value,80.85208
2012,1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Units,Normal value,80.85375
2013,1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Units,Normal value,80.85375
2014,1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Units,Normal value,80.96204
2015,1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Units,Normal value,80.96212
2016,1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Units,Normal value,80.96251
2017,1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Units,Normal value,81.15844
2018,1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Units,Normal value,81.39444
2019,1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Units,Normal value,81.41049
2020,1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Units,Normal value,81.41051999999999
2021,1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Units,Normal value,81.41051999999999
2022,1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Units,Normal value,81.41051999999999
2000,2) Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Units,Normal value,87.9963
2001,2) Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Units,Normal value,87.9963
2002,2) Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Units,Normal value,87.9963
2003,2) Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Units,Normal value,87.9963
2004,2) Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%),Percentage (%),Units,Normal value,87.9963
