Year,Series,Product,Units,Unit multiplier,Observation status,Value
2013,Tourism direct GDP as a proportion of total GDP,Accommodation services for visitors,Percentage (%),Units,Normal value,0.1967758257828432
2013,Tourism direct GDP as a proportion of total GDP,Food and beverage serving activities,Percentage (%),Units,Normal value,1.1754416909784755
2013,Tourism direct GDP as a proportion of total GDP,Railway passenger transport services,Percentage (%),Units,Normal value,0.0978206014615644
2013,Tourism direct GDP as a proportion of total GDP,Road passenger transport services,Percentage (%),Units,Normal value,0.0990051893606757
2013,Tourism direct GDP as a proportion of total GDP,Water passenger transport services,Percentage (%),Units,Normal value,0.0552577169878453
2013,Tourism direct GDP as a proportion of total GDP,Air passenger transport services,Percentage (%),Units,Normal value,-0.0306961921823117
2013,Tourism direct GDP as a proportion of total GDP,Transport equipment rental services,Percentage (%),Units,Normal value,0.0316275899615284
2013,Tourism direct GDP as a proportion of total GDP,Travel agencies and other reservation services,Percentage (%),Units,Normal value,0.0257485607228585
2013,Tourism direct GDP as a proportion of total GDP,Cultural activities,Percentage (%),Units,Normal value,0.1650362140520227
2013,Tourism direct GDP as a proportion of total GDP,Sport and recreation activities,Percentage (%),Units,Normal value,0.1385260899003767
2013,Tourism direct GDP as a proportion of total GDP,Exhibitions & Conferences etc.,Percentage (%),Units,Normal value,0.0298672275403085
2013,Tourism direct GDP as a proportion of total GDP,Other consumption products,Percentage (%),Units,Normal value,2.255848443504156
2013,Tourism direct GDP as a proportion of total GDP,,Percentage (%),Units,Normal value,5.897517274197278
2014,Tourism direct GDP as a proportion of total GDP,Accommodation services for visitors,Percentage (%),Units,Normal value,0.2390171900703781
2014,Tourism direct GDP as a proportion of total GDP,Food and beverage serving activities,Percentage (%),Units,Normal value,1.126482064094794
2014,Tourism direct GDP as a proportion of total GDP,Railway passenger transport services,Percentage (%),Units,Normal value,0.1011898230033766
2014,Tourism direct GDP as a proportion of total GDP,Road passenger transport services,Percentage (%),Units,Normal value,0.0936307635221214
2014,Tourism direct GDP as a proportion of total GDP,Water passenger transport services,Percentage (%),Units,Normal value,0.03934414031095
2014,Tourism direct GDP as a proportion of total GDP,Air passenger transport services,Percentage (%),Units,Normal value,0.0327492881791983
2014,Tourism direct GDP as a proportion of total GDP,Transport equipment rental services,Percentage (%),Units,Normal value,0.0304929931106136
2014,Tourism direct GDP as a proportion of total GDP,Travel agencies and other reservation services,Percentage (%),Units,Normal value,0.0336689284963326
