Year,Tourism sector,Tourism sub-sector (upper),Tourism sub-sector (middle),Tourism sub-sector (lower),Unit measure,Unit multiplier,Observation status,Value
2009,,,,,Number,Thousands,Undefined,3099.8
2010,,,,,Number,Thousands,Undefined,3034.3
2011,,,,,Number,Thousands,Undefined,3094.2
2012,,,,,Number,Thousands,Undefined,3154.4
2013,,,,,Number,Thousands,Undefined,3367.0
2014,,,,,Number,Thousands,Undefined,3439.9
2015,,,,,Number,Thousands,Undefined,3533.4
2016,,,,,Number,Thousands,Undefined,3709.0
2009,Accommodation,,,,Number,Thousands,Undefined,860.2
2009,Accommodation,Accommodation,,,Number,Thousands,Undefined,379.7
2009,Accommodation,Accommodation,Hotels and similar accommodation,,Number,Thousands,Undefined,311.8
2009,Accommodation,Accommodation,Holiday and other short-stay accommodation,,Number,Thousands,Undefined,33.5
2009,Accommodation,Accommodation,Holiday and other short-stay accommodation,Holiday centres and villages,Number,Thousands,Undefined,20.6
2009,Accommodation,Accommodation,Holiday and other short-stay accommodation,Holiday and other collective accommodation,Number,Thousands,Undefined,2.3
2009,Accommodation,Accommodation,Holiday and other short-stay accommodation,Other holiday and other collective accommodation,Number,Thousands,Undefined,10.7
2009,Accommodation,Accommodation,Camping grounds; recreational vehicle parks and trailer parks,,Number,Thousands,Undefined,26.5
2009,Accommodation,Accommodation,Other accommodation,,Number,Thousands,Undefined,7.8
2009,Accommodation,Real estate activities,,,Number,Thousands,Undefined,480.5
2009,Accommodation,Real estate activities,Buying and selling of own real estate,,Number,Thousands,Undefined,8.6
2009,Accommodation,Real estate activities,Renting and operating of own or leased real estate,,Number,Thousands,Undefined,247.8
2009,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Renting and operating of Housing Association real estate,Number,Thousands,Undefined,93.6
2009,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Letting and operating of conference and exhibition centres,Number,Thousands,Undefined,8.9
2009,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Other letting and operating of own or leased real estate,Number,Thousands,Undefined,145.3
2009,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,,Number,Thousands,Undefined,224.1
2009,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,Real estate agencies,Number,Thousands,Undefined,133.9
2009,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,Management of real estate on a fee or contract basis,Number,Thousands,Undefined,90.2
2009,Food and beverage serving activities,,,,Number,Thousands,Undefined,1302.6
2009,Food and beverage serving activities,Restaurants and mobile food service activities,,,Number,Thousands,Undefined,721.0
2009,Food and beverage serving activities,Restaurants and mobile food service activities,Licensed restaurants,,Number,Thousands,Undefined,361.9
2009,Food and beverage serving activities,Restaurants and mobile food service activities,Unlicensed restaurants and cafes,,Number,Thousands,Undefined,201.8
2009,Food and beverage serving activities,Restaurants and mobile food service activities,Take-away food shops and mobile food stands,,Number,Thousands,Undefined,157.3
