Year,Units,Series,Country,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2004,Area (000s hectares),1) Woodland area,England,Hectares,Thousands,Normal value,E92000001,1271.74554858367
2005,Area (000s hectares),1) Woodland area,England,Hectares,Thousands,Normal value,E92000001,1276.695301466355
2006,Area (000s hectares),1) Woodland area,England,Hectares,Thousands,Normal value,E92000001,1280.0813269511734
2007,Area (000s hectares),1) Woodland area,England,Hectares,Thousands,Normal value,E92000001,1283.0203452145342
2008,Area (000s hectares),1) Woodland area,England,Hectares,Thousands,Normal value,E92000001,1285.4143899966346
2009,Area (000s hectares),1) Woodland area,England,Hectares,Thousands,Normal value,E92000001,1287.737978952719
2010,Area (000s hectares),1) Woodland area,England,Hectares,Thousands,Normal value,E92000001,1289.8530000000003
2011,Area (000s hectares),1) Woodland area,England,Hectares,Thousands,Normal value,E92000001,1292.385
2012,Area (000s hectares),1) Woodland area,England,Hectares,Thousands,Normal value,E92000001,1297.6843200000003
2013,Area (000s hectares),1) Woodland area,England,Hectares,Thousands,Normal value,E92000001,1298.224190199
2014,Area (000s hectares),1) Woodland area,England,Hectares,Thousands,Normal value,E92000001,1301.9131370081127
2015,Area (000s hectares),1) Woodland area,England,Hectares,Thousands,Normal value,E92000001,1305.0382400361796
2016,Area (000s hectares),1) Woodland area,England,Hectares,Thousands,Normal value,E92000001,1305.2808116413396
2017,Area (000s hectares),1) Woodland area,England,Hectares,Thousands,Normal value,E92000001,1306.1742485117677
2018,Area (000s hectares),1) Woodland area,England,Hectares,Thousands,Normal value,E92000001,1307.4834495674045
2019,Area (000s hectares),1) Woodland area,England,Hectares,Thousands,Normal value,E92000001,1308.986095455461
2020,Area (000s hectares),1) Woodland area,England,Hectares,Thousands,Normal value,E92000001,1311.3253589350738
2021,Area (000s hectares),1) Woodland area,England,Hectares,Thousands,Normal value,E92000001,1320.0
2022,Area (000s hectares),1) Woodland area,England,Hectares,Thousands,Normal value,E92000001,1320.0
2023,Area (000s hectares),1) Woodland area,England,Hectares,Thousands,Normal value,E92000001,1330.0
2005,Growth rate (%),1) Woodland area,England,Percentage (%),Units,Normal value,E92000001,0.3892093735415314
2006,Growth rate (%),1) Woodland area,England,Percentage (%),Units,Normal value,E92000001,0.265217979648665
2007,Growth rate (%),1) Woodland area,England,Percentage (%),Units,Normal value,E92000001,0.2295962140437547
2008,Growth rate (%),1) Woodland area,England,Percentage (%),Units,Normal value,E92000001,0.1865944519921027
2009,Growth rate (%),1) Woodland area,England,Percentage (%),Units,Normal value,E92000001,0.1807657494864686
2010,Growth rate (%),1) Woodland area,England,Percentage (%),Units,Normal value,E92000001,0.1642431210269515
2011,Growth rate (%),1) Woodland area,England,Percentage (%),Units,Normal value,E92000001,0.1963014390011704
2012,Growth rate (%),1) Woodland area,England,Percentage (%),Units,Normal value,E92000001,0.4100418992792625
2013,Growth rate (%),1) Woodland area,England,Percentage (%),Units,Normal value,E92000001,0.0416025832075835
2014,Growth rate (%),1) Woodland area,England,Percentage (%),Units,Normal value,E92000001,0.2841532947053694
2015,Growth rate (%),1) Woodland area,England,Percentage (%),Units,Normal value,E92000001,0.2400392882776056
2016,Growth rate (%),1) Woodland area,England,Percentage (%),Units,Normal value,E92000001,0.0185873178056
2017,Growth rate (%),1) Woodland area,England,Percentage (%),Units,Normal value,E92000001,0.0684478667317832
2018,Growth rate (%),1) Woodland area,England,Percentage (%),Units,Normal value,E92000001,0.1002317307303199
2019,Growth rate (%),1) Woodland area,England,Percentage (%),Units,Normal value,E92000001,0.1149265704704362
2020,Growth rate (%),1) Woodland area,England,Percentage (%),Units,Normal value,E92000001,0.1787080464593518
2021,Growth rate (%),1) Woodland area,England,Percentage (%),Units,Normal value,E92000001,0.6615170678900557
2022,Growth rate (%),1) Woodland area,England,Percentage (%),Units,Normal value,E92000001,0.0
2023,Growth rate (%),1) Woodland area,England,Percentage (%),Units,Normal value,E92000001,0.7575757575757576
2004,Area (000s hectares),1) Woodland area,Northern Ireland,Hectares,Thousands,Missing value,N92000002,
2005,Area (000s hectares),1) Woodland area,Northern Ireland,Hectares,Thousands,Missing value,N92000002,
2006,Area (000s hectares),1) Woodland area,Northern Ireland,Hectares,Thousands,Missing value,N92000002,
2007,Area (000s hectares),1) Woodland area,Northern Ireland,Hectares,Thousands,Missing value,N92000002,
2008,Area (000s hectares),1) Woodland area,Northern Ireland,Hectares,Thousands,Missing value,N92000002,
2009,Area (000s hectares),1) Woodland area,Northern Ireland,Hectares,Thousands,Missing value,N92000002,
2010,Area (000s hectares),1) Woodland area,Northern Ireland,Hectares,Thousands,Missing value,N92000002,
2011,Area (000s hectares),1) Woodland area,Northern Ireland,Hectares,Thousands,Missing value,N92000002,
2012,Area (000s hectares),1) Woodland area,Northern Ireland,Hectares,Thousands,Missing value,N92000002,
2013,Area (000s hectares),1) Woodland area,Northern Ireland,Hectares,Thousands,Normal value,N92000002,111.016
2014,Area (000s hectares),1) Woodland area,Northern Ireland,Hectares,Thousands,Normal value,N92000002,111.463
2015,Area (000s hectares),1) Woodland area,Northern Ireland,Hectares,Thousands,Normal value,N92000002,111.912
2016,Area (000s hectares),1) Woodland area,Northern Ireland,Hectares,Thousands,Normal value,N92000002,112.087
2017,Area (000s hectares),1) Woodland area,Northern Ireland,Hectares,Thousands,Normal value,N92000002,112.378
2018,Area (000s hectares),1) Woodland area,Northern Ireland,Hectares,Thousands,Normal value,N92000002,112.617
2019,Area (000s hectares),1) Woodland area,Northern Ireland,Hectares,Thousands,Normal value,N92000002,113.005
2020,Area (000s hectares),1) Woodland area,Northern Ireland,Hectares,Thousands,Normal value,N92000002,118.381
2021,Area (000s hectares),1) Woodland area,Northern Ireland,Hectares,Thousands,Normal value,N92000002,118.506
2022,Area (000s hectares),1) Woodland area,Northern Ireland,Hectares,Thousands,Normal value,N92000002,120.0
2023,Area (000s hectares),1) Woodland area,Northern Ireland,Hectares,Thousands,Normal value,N92000002,120.0
2005,Growth rate (%),1) Woodland area,Northern Ireland,Percentage (%),Units,Missing value,N92000002,
2006,Growth rate (%),1) Woodland area,Northern Ireland,Percentage (%),Units,Missing value,N92000002,
2007,Growth rate (%),1) Woodland area,Northern Ireland,Percentage (%),Units,Missing value,N92000002,
2008,Growth rate (%),1) Woodland area,Northern Ireland,Percentage (%),Units,Missing value,N92000002,
2009,Growth rate (%),1) Woodland area,Northern Ireland,Percentage (%),Units,Missing value,N92000002,
2010,Growth rate (%),1) Woodland area,Northern Ireland,Percentage (%),Units,Missing value,N92000002,
2011,Growth rate (%),1) Woodland area,Northern Ireland,Percentage (%),Units,Missing value,N92000002,
2012,Growth rate (%),1) Woodland area,Northern Ireland,Percentage (%),Units,Missing value,N92000002,
2013,Growth rate (%),1) Woodland area,Northern Ireland,Percentage (%),Units,Normal value,N92000002,
2014,Growth rate (%),1) Woodland area,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.4026446638322404
2015,Growth rate (%),1) Woodland area,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.40282425558257
2016,Growth rate (%),1) Woodland area,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.156372864393452
2017,Growth rate (%),1) Woodland area,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.2596197596509854
2018,Growth rate (%),1) Woodland area,Northern Ireland,Percentage (%),Units,Normal value,N92000002,0.2126750787520689
