Year,Units,Disability status,Age,Sex,Region,Country of birth,Nationality,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2017,Headcount (ONS data),,,,East Midlands,,,"Rate per 1,000,000 population",Units,Undefined,E12000004,9324.7
2012,Headcount (ONS data),,,,West Midlands,,,"Rate per 1,000,000 population",Units,Undefined,E12000005,8166.1
2013,Headcount (ONS data),,,,West Midlands,,,"Rate per 1,000,000 population",Units,Undefined,E12000005,7099.4
2014,Headcount (ONS data),,,,West Midlands,,,"Rate per 1,000,000 population",Units,Undefined,E12000005,7324.5
2015,Headcount (ONS data),,,,West Midlands,,,"Rate per 1,000,000 population",Units,Undefined,E12000005,7114.1
2016,Headcount (ONS data),,,,West Midlands,,,"Rate per 1,000,000 population",Units,Undefined,E12000005,7868.1
2017,Headcount (ONS data),,,,West Midlands,,,"Rate per 1,000,000 population",Units,Undefined,E12000005,7988.1
2012,Headcount (ONS data),,,,East of England,,,"Rate per 1,000,000 population",Units,Undefined,E12000006,9398.6
2013,Headcount (ONS data),,,,East of England,,,"Rate per 1,000,000 population",Units,Undefined,E12000006,9800.6
2014,Headcount (ONS data),,,,East of England,,,"Rate per 1,000,000 population",Units,Undefined,E12000006,10185.0
2015,Headcount (ONS data),,,,East of England,,,"Rate per 1,000,000 population",Units,Undefined,E12000006,12532.0
2016,Headcount (ONS data),,,,East of England,,,"Rate per 1,000,000 population",Units,Undefined,E12000006,11115.2
2017,Headcount (ONS data),,,,East of England,,,"Rate per 1,000,000 population",Units,Undefined,E12000006,9519.1
2012,Headcount (ONS data),,,,London,,,"Rate per 1,000,000 population",Units,Undefined,E12000007,8816.0
2013,Headcount (ONS data),,,,London,,,"Rate per 1,000,000 population",Units,Undefined,E12000007,9240.4
2014,Headcount (ONS data),,,,London,,,"Rate per 1,000,000 population",Units,Undefined,E12000007,11338.2
2015,Headcount (ONS data),,,,London,,,"Rate per 1,000,000 population",Units,Undefined,E12000007,10132.3
2016,Headcount (ONS data),,,,London,,,"Rate per 1,000,000 population",Units,Undefined,E12000007,11089.2
2017,Headcount (ONS data),,,,London,,,"Rate per 1,000,000 population",Units,Undefined,E12000007,11724.0
2012,Headcount (ONS data),,,,South East,,,"Rate per 1,000,000 population",Units,Undefined,E12000008,9472.7
2013,Headcount (ONS data),,,,South East,,,"Rate per 1,000,000 population",Units,Undefined,E12000008,9642.2
2014,Headcount (ONS data),,,,South East,,,"Rate per 1,000,000 population",Units,Undefined,E12000008,10952.2
2015,Headcount (ONS data),,,,South East,,,"Rate per 1,000,000 population",Units,Undefined,E12000008,12087.7
