Year,Series,Mountain elevation,Unit multiplier,Observation status,Units,Value
2000,Mountain Green Cover Index,5.0,Units,Normal value,Index,4.7619
2010,Mountain Green Cover Index,5.0,Units,Normal value,Index,3.06122
2015,Mountain Green Cover Index,5.0,Units,Normal value,Index,3.06122
2018,Mountain Green Cover Index,5.0,Units,Normal value,Index,3.06122
2015,Mountain Green Cover Index,6.0,Units,Normal value,Index,85.82695
2018,Mountain Green Cover Index,6.0,Units,Normal value,Index,85.84156
2000,Mountain Green Cover Index,6.0,Units,Normal value,Index,85.86166
2010,Mountain Green Cover Index,6.0,Units,Normal value,Index,85.83462
2000,Mountain Green Cover Index,,Units,Normal value,Index,85.6011
2010,Mountain Green Cover Index,,Units,Normal value,Index,85.56868
2018,Mountain Green Cover Index,,Units,Normal value,Index,85.5756
2015,Mountain Green Cover Index,,Units,Normal value,Index,85.56103
