Year,Series,Industry sector,Units,Unit multiplier,Observation status,Value
1990,Energy intensity level of primary energy,,Terajoules per million pounds (TJ/£ million),Units,Normal Value,5.3
1991,Energy intensity level of primary energy,,Terajoules per million pounds (TJ/£ million),Units,Normal Value,5.4
1992,Energy intensity level of primary energy,,Terajoules per million pounds (TJ/£ million),Units,Normal Value,5.3
1993,Energy intensity level of primary energy,,Terajoules per million pounds (TJ/£ million),Units,Normal Value,5.2
1994,Energy intensity level of primary energy,,Terajoules per million pounds (TJ/£ million),Units,Normal Value,5.1
1995,Energy intensity level of primary energy,,Terajoules per million pounds (TJ/£ million),Units,Normal Value,5.1
1996,Energy intensity level of primary energy,,Terajoules per million pounds (TJ/£ million),Units,Normal Value,5.1
1997,Energy intensity level of primary energy,,Terajoules per million pounds (TJ/£ million),Units,Normal Value,5.0
1998,Energy intensity level of primary energy,,Terajoules per million pounds (TJ/£ million),Units,Normal Value,5.0
1999,Energy intensity level of primary energy,,Terajoules per million pounds (TJ/£ million),Units,Normal Value,4.8
2000,Energy intensity level of primary energy,,Terajoules per million pounds (TJ/£ million),Units,Normal Value,4.7
2001,Energy intensity level of primary energy,,Terajoules per million pounds (TJ/£ million),Units,Normal Value,4.6
2002,Energy intensity level of primary energy,,Terajoules per million pounds (TJ/£ million),Units,Normal Value,4.3
2003,Energy intensity level of primary energy,,Terajoules per million pounds (TJ/£ million),Units,Normal Value,4.2
2004,Energy intensity level of primary energy,,Terajoules per million pounds (TJ/£ million),Units,Normal Value,4.2
2005,Energy intensity level of primary energy,,Terajoules per million pounds (TJ/£ million),Units,Normal Value,4.1
2006,Energy intensity level of primary energy,,Terajoules per million pounds (TJ/£ million),Units,Normal Value,3.9
2007,Energy intensity level of primary energy,,Terajoules per million pounds (TJ/£ million),Units,Normal Value,3.7
2008,Energy intensity level of primary energy,,Terajoules per million pounds (TJ/£ million),Units,Normal Value,3.7
2009,Energy intensity level of primary energy,,Terajoules per million pounds (TJ/£ million),Units,Normal Value,3.5
2010,Energy intensity level of primary energy,,Terajoules per million pounds (TJ/£ million),Units,Normal Value,3.5
2011,Energy intensity level of primary energy,,Terajoules per million pounds (TJ/£ million),Units,Normal Value,3.3
2012,Energy intensity level of primary energy,,Terajoules per million pounds (TJ/£ million),Units,Normal Value,3.2
2013,Energy intensity level of primary energy,,Terajoules per million pounds (TJ/£ million),Units,Normal Value,3.1
2014,Energy intensity level of primary energy,,Terajoules per million pounds (TJ/£ million),Units,Normal Value,3.0
2015,Energy intensity level of primary energy,,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.9
2016,Energy intensity level of primary energy,,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.8
2017,Energy intensity level of primary energy,,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.7
2018,Energy intensity level of primary energy,,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.6
2019,Energy intensity level of primary energy,,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.5
1990,Energy intensity level of primary energy,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Normal Value,3.1
1991,Energy intensity level of primary energy,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Normal Value,3.4
1992,Energy intensity level of primary energy,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Normal Value,3.4
1993,Energy intensity level of primary energy,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Normal Value,3.6
1994,Energy intensity level of primary energy,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Normal Value,3.5
1995,Energy intensity level of primary energy,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Normal Value,3.6
1996,Energy intensity level of primary energy,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Normal Value,3.8
1997,Energy intensity level of primary energy,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Normal Value,3.8
1998,Energy intensity level of primary energy,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Normal Value,3.6
1999,Energy intensity level of primary energy,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Normal Value,3.2
2000,Energy intensity level of primary energy,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Normal Value,3.3
2001,Energy intensity level of primary energy,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Normal Value,3.4
2002,Energy intensity level of primary energy,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Normal Value,3.0
2003,Energy intensity level of primary energy,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.9
2004,Energy intensity level of primary energy,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.2
2005,Energy intensity level of primary energy,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.3
2006,Energy intensity level of primary energy,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.4
2007,Energy intensity level of primary energy,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.4
2008,Energy intensity level of primary energy,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.8
2009,Energy intensity level of primary energy,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.8
2010,Energy intensity level of primary energy,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.8
2011,Energy intensity level of primary energy,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.7
2012,Energy intensity level of primary energy,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Normal Value,3.0
2013,Energy intensity level of primary energy,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.8
2014,Energy intensity level of primary energy,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.8
2015,Energy intensity level of primary energy,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.8
2016,Energy intensity level of primary energy,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.5
2017,Energy intensity level of primary energy,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.1
2018,Energy intensity level of primary energy,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.0
2019,Energy intensity level of primary energy,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.1
1990,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
1991,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
1992,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
1993,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
1994,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
1995,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
1996,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
1997,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
1998,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
1999,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
2000,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
2001,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
2002,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
2003,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
