Year,Observation status,Unit multiplier,Unit measure,Value
2012,Undefined,Units,Number,395.0
2013,Undefined,Units,Number,480.0
2014,Undefined,Units,Number,566.0
2015,Undefined,Units,Number,663.0
2016,Undefined,Units,Number,752.0
2017,Undefined,Units,Number,885.0
2018,Undefined,Units,Number,980.0
2019,Undefined,Units,Number,1001.0
