Year,Flow of Official Development Assistance (ODA),Observation status,Unit multiplier,Unit measure,Value
2010,,Undefined,Thousands,GBP (£),39268.1778615
2011,,Undefined,Thousands,GBP (£),52717.9273947
2012,,Undefined,Thousands,GBP (£),29286.096603357968
2013,,Undefined,Thousands,GBP (£),53084.73986582452
2014,,Undefined,Thousands,GBP (£),15986.973368198198
2015,,Undefined,Thousands,GBP (£),33528.11776904865
2016,,Undefined,Thousands,GBP (£),29607.805165140235
2017,,Undefined,Thousands,GBP (£),30239.270620682302
2010,Bilateral,Undefined,Thousands,GBP (£),34157.35715
2011,Bilateral,Undefined,Thousands,GBP (£),48803.426075
2012,Bilateral,Undefined,Thousands,GBP (£),24058.527765000003
2013,Bilateral,Undefined,Thousands,GBP (£),46013.8857
2014,Bilateral,Undefined,Thousands,GBP (£),12893.986439999995
2015,Bilateral,Undefined,Thousands,GBP (£),27808.30458
2016,Bilateral,Undefined,Thousands,GBP (£),24823.02845
2017,Bilateral,Undefined,Thousands,GBP (£),24666.7590175
2010,Multilateral,Undefined,Thousands,GBP (£),5110.82071153
2011,Multilateral,Undefined,Thousands,GBP (£),3914.50131967
2012,Multilateral,Undefined,Thousands,GBP (£),5227.568838357968
2013,Multilateral,Undefined,Thousands,GBP (£),7070.85416582453
2014,Multilateral,Undefined,Thousands,GBP (£),3092.986928198201
2015,Multilateral,Undefined,Thousands,GBP (£),5719.813189048649
2016,Multilateral,Undefined,Thousands,GBP (£),4784.776715140231
2017,Multilateral,Undefined,Thousands,GBP (£),5572.5116031823
