Year,Series,City,Urbanisation,Value
2010,PM2.5,Aberdeen,,7.07
2013,PM2.5,Aberdeen,,8.59
2014,PM2.5,Aberdeen,,10.2
2015,PM2.5,Aberdeen,,8.04
2016,PM2.5,Aberdeen,,5.37
2017,PM2.5,Aberdeen,,5.78
2018,PM2.5,Aberdeen,,6.87
2019,PM2.5,Aberdeen,,7.26
2014,PM2.5,Barnstaple,,9.08
2015,PM2.5,Barnstaple,,9.59
2016,PM2.5,Barnstaple,,10.7
2018,PM2.5,Barnstaple,,6.93
2019,PM2.5,Barnstaple,,8.14
2010,PM2.5,Belfast,,13.51
2013,PM2.5,Belfast,,11.56
2014,PM2.5,Belfast,,10.8
2015,PM2.5,Belfast,,9.03
2016,PM2.5,Belfast,,9.55
2017,PM2.5,Belfast,,8.71
2018,PM2.5,Belfast,,10.01
2019,PM2.5,Belfast,,10.6
2010,PM2.5,Biandrate,,17.23
2010,PM2.5,Birkenhead,,8.92
2013,PM2.5,Birkenhead,,10.75
2015,PM2.5,Birkenhead,,7.2
2016,PM2.5,Birkenhead,,7.89
2017,PM2.5,Birkenhead,,6.9
2018,PM2.5,Birkenhead,,8.38
2019,PM2.5,Birkenhead,,8.02
2010,PM2.5,Birmingham,,14.62
2013,PM2.5,Birmingham,,14.27
2014,PM2.5,Birmingham,,13.29
2015,PM2.5,Birmingham,,10.12
2016,PM2.5,Birmingham,,10.71
2017,PM2.5,Birmingham,,10.63
2018,PM2.5,Birmingham,,10.54
2019,PM2.5,Birmingham,,9.51
2015,PM2.5,Blackpool,,8.48
2016,PM2.5,Blackpool,,7.84
2017,PM2.5,Blackpool,,7.34
2018,PM2.5,Blackpool,,8.51
2019,PM2.5,Blackpool,,9.17
2013,PM2.5,Bournemouth,,9.19
2014,PM2.5,Bournemouth,,8.17
2015,PM2.5,Bournemouth,,7.47
2016,PM2.5,Bournemouth,,7.49
2017,PM2.5,Bournemouth,,7.54
2018,PM2.5,Bournemouth,,10.53
2019,PM2.5,Bournemouth,,10.82
2013,PM2.5,Brighton,,11.18
2014,PM2.5,Brighton,,9.56
2015,PM2.5,Brighton,,9.3
2016,PM2.5,Brighton,,9.02
2017,PM2.5,Brighton,,8.9
2018,PM2.5,Brighton,,8.9
2010,PM2.5,Bristol,,14.21
2013,PM2.5,Bristol,,12.81
2015,PM2.5,Bristol,,10.25
2016,PM2.5,Bristol,,11.66
2017,PM2.5,Bristol,,9.65
2018,PM2.5,Bristol,,12.04
2019,PM2.5,Bristol,,10.76
2010,PM2.5,Cardiff,,13.8
2013,PM2.5,Cardiff,,13.51
2014,PM2.5,Cardiff,,11.65
2015,PM2.5,Cardiff,,9.56
2016,PM2.5,Cardiff,,9.66
2017,PM2.5,Cardiff,,9.08
2018,PM2.5,Cardiff,,10.16
2010,PM2.5,Carlisle,,15.54
2013,PM2.5,Carlisle,,11.7
2014,PM2.5,Carlisle,,11.32
2015,PM2.5,Carlisle,,10.16
2017,PM2.5,Carlisle,,8.59
2018,PM2.5,Carlisle,,8.6
2019,PM2.5,Carlisle,,10.81
2013,PM2.5,Chepstow,,14.15
2014,PM2.5,Chepstow,,14.32
2015,PM2.5,Chepstow,,9.71
2016,PM2.5,Chepstow,,11.16
2017,PM2.5,Chepstow,,9.7
2018,PM2.5,Chepstow,,10.16
2019,PM2.5,Chepstow,,12.55
2010,PM2.5,Chesterfield,,13.26
2013,PM2.5,Chesterfield,,10.21
2014,PM2.5,Chesterfield,,11.59
2015,PM2.5,Chesterfield,,10.41
2016,PM2.5,Chesterfield,,10.77
2017,PM2.5,Chesterfield,,8.74
2018,PM2.5,Chesterfield,,9.65
2019,PM2.5,Chesterfield,,8.62
2018,PM2.5,Christchurch,,12.2
2019,PM2.5,Christchurch,,12.83
2010,PM2.5,Coventry,,12.28
2015,PM2.5,Coventry,,10.94
2016,PM2.5,Coventry,,10.37
