Year,Country,Sex,Cause of death,Observation status,Unit multiplier,Unit measure,Units,GeoCode,Value
2001,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.248281234954
2002,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1806010070730388
2003,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1778173330963949
2004,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1787326171711774
2005,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1679877252489078
2006,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1723791063622459
2007,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.2004140959728313
2008,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.2115178006816708
2009,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.2244943098205778
2010,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.2316293546790018
2011,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1406421510544057
2012,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1449588030617279
2013,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1703301431902298
2014,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1236747337779422
2015,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0673744869022529
2016,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0907826227740336
2017,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1106484775322734
2018,,,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0964209083225098
2001,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.2502516397543186
2002,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.2022707379824536
2003,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1663178568636807
2004,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1960624885750351
2005,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1677187332448032
2006,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1740225888886577
2007,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.187483117145301
2008,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1746282211615147
2009,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1880414487598113
2010,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.2484223627326708
2011,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1592031909240287
2012,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1508437336496167
2013,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1996492163269136
2014,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1307674128031405
2015,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0630365835964731
2016,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1109764057918863
2017,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.161950278301216
2018,,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0992632238552391
2001,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.2463999474346778
2002,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1598868150081663
2003,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1888250450431037
2004,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1621228842088515
2005,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1682458305665733
2006,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1708003749177251
2007,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.2128555824659528
2008,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.2470691953804935
2009,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.259661054110767
2010,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.215397868465067
2011,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1226637376902558
2012,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1392543735969251
2013,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1418732592194347
2014,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1167817304462645
2015,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0715976636795894
2016,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0710749878690226
2017,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0605584661374888
2018,,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0936437373509885
2001,,,,Undefined,Units,Number of Deaths,Deaths,,130.0
2002,,,,Undefined,Units,Number of Deaths,Deaths,,95.0
2003,,,,Undefined,Units,Number of Deaths,Deaths,,94.0
2004,,,,Undefined,Units,Number of Deaths,Deaths,,95.0
2005,,,,Undefined,Units,Number of Deaths,Deaths,,90.0
2006,,,,Undefined,Units,Number of Deaths,Deaths,,93.0
2007,,,,Undefined,Units,Number of Deaths,Deaths,,109.0
2008,,,,Undefined,Units,Number of Deaths,Deaths,,116.0
2009,,,,Undefined,Units,Number of Deaths,Deaths,,124.0
2010,,,,Undefined,Units,Number of Deaths,Deaths,,129.0
2011,,,,Undefined,Units,Number of Deaths,Deaths,,79.0
2012,,,,Undefined,Units,Number of Deaths,Deaths,,82.0
2013,,,,Undefined,Units,Number of Deaths,Deaths,,97.0
2014,,,,Undefined,Units,Number of Deaths,Deaths,,71.0
2015,,,,Undefined,Units,Number of Deaths,Deaths,,39.0
2016,,,,Undefined,Units,Number of Deaths,Deaths,,53.0
2017,,,,Undefined,Units,Number of Deaths,Deaths,,65.0
2018,,,,Undefined,Units,Number of Deaths,Deaths,,57.0
2001,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,64.0
2002,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,52.0
2003,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,43.0
2004,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,51.0
2005,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,44.0
2006,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,46.0
2007,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,50.0
2008,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,47.0
2009,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,51.0
2010,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,68.0
2011,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,44.0
2012,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,42.0
2013,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,56.0
2014,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,37.0
2015,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,18.0
2016,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,32.0
2017,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,47.0
2018,England and Wales,Male,,Undefined,Units,Number of Deaths,Deaths,K04000001,29.0
2001,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,66.0
2002,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,43.0
2003,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,51.0
2004,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,44.0
2005,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,46.0
2006,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,47.0
2007,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,59.0
2008,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,69.0
2009,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,73.0
2010,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,61.0
2011,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,35.0
2012,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,40.0
2013,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,41.0
2014,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,34.0
2015,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,21.0
2016,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,21.0
2017,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,18.0
2018,England and Wales,Female,,Undefined,Units,Number of Deaths,Deaths,K04000001,28.0
2001,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,120.0
2002,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,84.0
2003,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,91.0
2004,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,88.0
2005,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,88.0
2006,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,90.0
2007,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,102.0
2008,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,112.0
2009,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,114.0
2010,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,115.0
2011,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,73.0
2012,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,81.0
2013,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,91.0
2014,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,64.0
2015,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,36.0
2016,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,48.0
2017,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,63.0
2018,England,,,Undefined,Units,Number of Deaths,Deaths,E92000001,53.0
2001,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,10.0
2002,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,11.0
2003,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,3.0
2004,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,7.0
2005,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,2.0
2006,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,3.0
2007,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,7.0
2008,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,4.0
2009,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,10.0
2010,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,14.0
2011,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,6.0
2012,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,1.0
2013,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,6.0
2014,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,7.0
2015,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,3.0
2016,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,5.0
2017,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,2.0
2018,Wales,,,Undefined,Units,Number of Deaths,Deaths,W92000004,4.0
2001,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,59.0
2002,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,46.0
2003,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,42.0
2004,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,48.0
2005,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,43.0
2006,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,46.0
2007,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,47.0
2008,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,44.0
2009,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,47.0
2010,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,61.0
2011,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,40.0
2012,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,42.0
2013,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,53.0
2014,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,34.0
2015,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,16.0
2016,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,28.0
2017,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,45.0
2018,England,Male,,Undefined,Units,Number of Deaths,Deaths,E92000001,27.0
2001,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,61.0
2002,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,38.0
2003,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,49.0
2004,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,40.0
2005,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,45.0
2006,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,44.0
2007,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,55.0
2008,England,Female,,Undefined,Units,Number of Deaths,Deaths,E92000001,68.0
