Year,Units,Flight category,Observation status,Unit multiplier,Unit measure,Value
2008,Passengers (thousands),,Undefined,Thousands,Number,234972.281
2009,Passengers (thousands),,Undefined,Thousands,Number,217738.755
2010,Passengers (thousands),,Undefined,Thousands,Number,210294.006
2011,Passengers (thousands),,Undefined,Thousands,Number,218998.803
2012,Passengers (thousands),,Undefined,Thousands,Number,220428.273
2013,Passengers (thousands),,Undefined,Thousands,Number,228246.23
2014,Passengers (thousands),,Undefined,Thousands,Number,238249.686
2015,Passengers (thousands),,Undefined,Thousands,Number,251329.689
2016,Passengers (thousands),,Undefined,Thousands,Number,268330.985
2017,Passengers (thousands),,Undefined,Thousands,Number,284397.095
2018,Passengers (thousands),,Undefined,Thousands,Number,292065.291
2008,Passengers (thousands),International,Undefined,Thousands,Number,192159.981
2009,Passengers (thousands),International,Undefined,Thousands,Number,178785.53
2010,Passengers (thousands),International,Undefined,Thousands,Number,174942.646
2011,Passengers (thousands),International,Undefined,Thousands,Number,183867.216
2012,Passengers (thousands),International,Undefined,Thousands,Number,185492.992
2013,Passengers (thousands),International,Undefined,Thousands,Number,192484.873
2014,Passengers (thousands),International,Undefined,Thousands,Number,201706.834
2015,Passengers (thousands),International,Undefined,Thousands,Number,213023.037
2016,Passengers (thousands),International,Undefined,Thousands,Number,229402.933
2017,Passengers (thousands),International,Undefined,Thousands,Number,244731.672
2018,Passengers (thousands),International,Undefined,Thousands,Number,252114.568
2008,Passengers (thousands),Domestic,Undefined,Thousands,Number,42812.3
2009,Passengers (thousands),Domestic,Undefined,Thousands,Number,38953.225
2010,Passengers (thousands),Domestic,Undefined,Thousands,Number,35351.36
2011,Passengers (thousands),Domestic,Undefined,Thousands,Number,35131.587
2012,Passengers (thousands),Domestic,Undefined,Thousands,Number,34935.281
2013,Passengers (thousands),Domestic,Undefined,Thousands,Number,35761.357
2014,Passengers (thousands),Domestic,Undefined,Thousands,Number,36542.852
2015,Passengers (thousands),Domestic,Undefined,Thousands,Number,38306.652
2016,Passengers (thousands),Domestic,Undefined,Thousands,Number,38904.345
2017,Passengers (thousands),Domestic,Undefined,Thousands,Number,39637.182
2018,Passengers (thousands),Domestic,Undefined,Thousands,Number,39950.723
2008,Freight (thousand tonnes),,Undefined,Thousands,Tonnes,2324.789227
2009,Freight (thousand tonnes),,Undefined,Thousands,Tonnes,2281.726932
2010,Freight (thousand tonnes),,Undefined,Thousands,Tonnes,2047.513524
2011,Freight (thousand tonnes),,Undefined,Thousands,Tonnes,2324.471423
2012,Freight (thousand tonnes),,Undefined,Thousands,Tonnes,2297.316193
2013,Freight (thousand tonnes),,Undefined,Thousands,Tonnes,2302.107922
2014,Freight (thousand tonnes),,Undefined,Thousands,Tonnes,2262.256617
2015,Freight (thousand tonnes),,Undefined,Thousands,Tonnes,2304.349653
2016,Freight (thousand tonnes),,Undefined,Thousands,Tonnes,2299.213004
2017,Freight (thousand tonnes),,Undefined,Thousands,Tonnes,2409.832211
2018,Freight (thousand tonnes),,Undefined,Thousands,Tonnes,2640.336523
2008,Freight (thousand tonnes),International,Undefined,Thousands,Tonnes,2207.355118
2009,Freight (thousand tonnes),International,Undefined,Thousands,Tonnes,2180.641749
2010,Freight (thousand tonnes),International,Undefined,Thousands,Tonnes,1943.541625
2011,Freight (thousand tonnes),International,Undefined,Thousands,Tonnes,2225.836972
2012,Freight (thousand tonnes),International,Undefined,Thousands,Tonnes,2196.192703
2013,Freight (thousand tonnes),International,Undefined,Thousands,Tonnes,2198.733617
2014,Freight (thousand tonnes),International,Undefined,Thousands,Tonnes,2159.339416
2015,Freight (thousand tonnes),International,Undefined,Thousands,Tonnes,2200.806702
2016,Freight (thousand tonnes),International,Undefined,Thousands,Tonnes,2196.296787
2017,Freight (thousand tonnes),International,Undefined,Thousands,Tonnes,2310.90629
2018,Freight (thousand tonnes),International,Undefined,Thousands,Tonnes,2542.712651
2008,Freight (thousand tonnes),Domestic,Undefined,Thousands,Tonnes,117.434109
2009,Freight (thousand tonnes),Domestic,Undefined,Thousands,Tonnes,101.085183
2010,Freight (thousand tonnes),Domestic,Undefined,Thousands,Tonnes,103.971899
2011,Freight (thousand tonnes),Domestic,Undefined,Thousands,Tonnes,98.6344509999998
2012,Freight (thousand tonnes),Domestic,Undefined,Thousands,Tonnes,101.12349
2013,Freight (thousand tonnes),Domestic,Undefined,Thousands,Tonnes,103.374305
2014,Freight (thousand tonnes),Domestic,Undefined,Thousands,Tonnes,102.917201
2015,Freight (thousand tonnes),Domestic,Undefined,Thousands,Tonnes,103.542951
2016,Freight (thousand tonnes),Domestic,Undefined,Thousands,Tonnes,102.916217
2017,Freight (thousand tonnes),Domestic,Undefined,Thousands,Tonnes,74.203998
2018,Freight (thousand tonnes),Domestic,Undefined,Thousands,Tonnes,79.23724
