Year,Observation status,Unit multiplier,Unit measure,Value
1995,Undefined,Units,Index,0.621339529269
1996,Undefined,Units,Index,0.6181220409035497
1997,Undefined,Units,Index,0.771004328981524
1998,Undefined,Units,Index,0.6423545247977481
1999,Undefined,Units,Index,0.6615093178818544
2000,Undefined,Units,Index,0.8073283082321498
2001,Undefined,Units,Index,1.1603298752468527
2002,Undefined,Units,Index,0.6122958993364525
2003,Undefined,Units,Index,0.6516990793690579
2004,Undefined,Units,Index,0.7159371180633705
2005,Undefined,Units,Index,0.729768890328312
2006,Undefined,Units,Index,0.7575649279517879
2007,Undefined,Units,Index,0.7187034951244724
2008,Undefined,Units,Index,0.5352283579560646
2009,Undefined,Units,Index,0.5181506107712819
2010,Undefined,Units,Index,0.5360945355198342
2011,Undefined,Units,Index,0.5032723597896435
2012,Undefined,Units,Index,0.4744691368543918
2013,Undefined,Units,Index,0.4699129396904208
2014,Undefined,Units,Index,0.4115890987924501
2015,Undefined,Units,Index,0.3942197474077352
2016,Undefined,Units,Index,0.4201051797905087
2017,Undefined,Units,Index,0.4035490327789873
2018,Undefined,Units,Index,0.4228702736764776
