Year,Value,Observation status,Unit multiplier,Unit measure
2012,395.0,Undefined,Units,Number
2013,480.0,Undefined,Units,Number
2014,566.0,Undefined,Units,Number
2015,663.0,Undefined,Units,Number
2016,752.0,Undefined,Units,Number
2017,885.0,Undefined,Units,Number
2018,980.0,Undefined,Units,Number
2019,1001.0,Undefined,Units,Number
