Year,Value,Units,Series,Observation status
2009,15458.77,GBP (£ thousands),"Total official flows for scholarships, by recipient countries",Normal value
2010,12554.15,GBP (£ thousands),"Total official flows for scholarships, by recipient countries",Normal value
2011,8557.21,GBP (£ thousands),"Total official flows for scholarships, by recipient countries",Normal value
2012,21928.49,GBP (£ thousands),"Total official flows for scholarships, by recipient countries",Normal value
2013,16979.52,GBP (£ thousands),"Total official flows for scholarships, by recipient countries",Normal value
2014,18372.0,GBP (£ thousands),"Total official flows for scholarships, by recipient countries",Normal value
2015,70076.54,GBP (£ thousands),"Total official flows for scholarships, by recipient countries",Normal value
2016,92909.42,GBP (£ thousands),"Total official flows for scholarships, by recipient countries",Normal value
2009,24871.982,Constant USD ($ thousands),"Total official flows for scholarships, by recipient countries",Normal value
2010,19924.468,Constant USD ($ thousands),"Total official flows for scholarships, by recipient countries",Normal value
2011,13305.918,Constant USD ($ thousands),"Total official flows for scholarships, by recipient countries",Normal value
2012,33556.517,Constant USD ($ thousands),"Total official flows for scholarships, by recipient countries",Normal value
2013,25414.28,Constant USD ($ thousands),"Total official flows for scholarships, by recipient countries",Normal value
2014,27068.009,Constant USD ($ thousands),"Total official flows for scholarships, by recipient countries",Normal value
2015,102720.544,Constant USD ($ thousands),"Total official flows for scholarships, by recipient countries",Normal value
2016,133648.937,Constant USD ($ thousands),"Total official flows for scholarships, by recipient countries",Normal value
2017,94532.499,GBP (£ thousands),"Total official flows for scholarships, by recipient countries",Normal value
2018,95956.719,GBP (£ thousands),"Total official flows for scholarships, by recipient countries",Normal value
2019,105578.833,GBP (£ thousands),"Total official flows for scholarships, by recipient countries",Normal value
2020,78277.318,GBP (£ thousands),"Total official flows for scholarships, by recipient countries",Normal value
2021,92649.319,GBP (£ thousands),"Total official flows for scholarships, by recipient countries",Normal value
2017,133554.667,Constant USD ($ thousands),"Total official flows for scholarships, by recipient countries",Normal value
2018,132909.878,Constant USD ($ thousands),"Total official flows for scholarships, by recipient countries",Normal value
2019,143348.862,Constant USD ($ thousands),"Total official flows for scholarships, by recipient countries",Normal value
2020,100394.149,Constant USD ($ thousands),"Total official flows for scholarships, by recipient countries",Normal value
2021,117880.424,Constant USD ($ thousands),"Total official flows for scholarships, by recipient countries",Normal value
