Year,Value,Units,Observation status,Unit multiplier
1994,0.1831938450462811,"Number of refugees per 100,000 population",Normal value,Units
1995,0.1292549100708963,"Number of refugees per 100,000 population",Normal value,Units
1996,0.118629123907243,"Number of refugees per 100,000 population",Normal value,Units
1997,0.1286134484223631,"Number of refugees per 100,000 population",Normal value,Units
1998,0.1504916939871796,"Number of refugees per 100,000 population",Normal value,Units
1999,0.1738107959065581,"Number of refugees per 100,000 population",Normal value,Units
2000,0.1851027631953689,"Number of refugees per 100,000 population",Normal value,Units
2001,0.1759338705180846,"Number of refugees per 100,000 population",Normal value,Units
2002,0.2661463449473927,"Number of refugees per 100,000 population",Normal value,Units
2003,0.2448152489985714,"Number of refugees per 100,000 population",Normal value,Units
2004,0.2351940154632559,"Number of refugees per 100,000 population",Normal value,Units
2005,0.2218050595058282,"Number of refugees per 100,000 population",Normal value,Units
2006,0.2794805219913605,"Number of refugees per 100,000 population",Normal value,Units
2007,0.3229001100518592,"Number of refugees per 100,000 population",Normal value,Units
2008,0.2943842770069348,"Number of refugees per 100,000 population",Normal value,Units
2009,0.248953427896767,"Number of refugees per 100,000 population",Normal value,Units
2010,0.2421939920338572,"Number of refugees per 100,000 population",Normal value,Units
2011,0.2370218863639649,"Number of refugees per 100,000 population",Normal value,Units
2012,0.2354596596383527,"Number of refugees per 100,000 population",Normal value,Units
2013,0.2183889961646836,"Number of refugees per 100,000 population",Normal value,Units
2014,0.2120845169494153,"Number of refugees per 100,000 population",Normal value,Units
2015,0.1965898963667146,"Number of refugees per 100,000 population",Normal value,Units
2016,0.1188152619483521,"Number of refugees per 100,000 population",Normal value,Units
2017,0.1287092608311947,"Number of refugees per 100,000 population",Normal value,Units
2018,0.1264381702144966,"Number of refugees per 100,000 population",Normal value,Units
2019,0.1032982440675818,"Number of refugees per 100,000 population",Normal value,Units
2020,0.0924251672179976,"Number of refugees per 100,000 population",Normal value,Units
2021,0.1506869092597598,"Number of refugees per 100,000 population",Normal value,Units
