Year,Units,Value
2001-02,GBP (£),4.5
2002-03,GBP (£),4.8
2003-04,GBP (£),5.0
2004-05,GBP (£),4.9
2005-06,GBP (£),5.5
2006-07,GBP (£),5.8
2007-08,GBP (£),5.7
2008-09,GBP (£),5.1
2009-10,GBP (£),5.3
2010-11,GBP (£),5.0
2011-12,GBP (£),6.6
2012-13,GBP (£),6.4
2013-14,GBP (£),6.2
2014-15,GBP (£),7.0
2015-16,GBP (£),7.2
2016-17,GBP (£),7.3
2017-18,GBP (£),6.9
