Year,Value,Units,Series,Observation status,Unit multiplier
2002/03-2007/08,1.69,Percentage (%),Growth rates of household income per capita,Normal value,Units
2003/04-2008/09,1.0,Percentage (%),Growth rates of household income per capita,Normal value,Units
2004/05-2009/10,1.18,Percentage (%),Growth rates of household income per capita,Normal value,Units
2005/06-2010/11,0.76,Percentage (%),Growth rates of household income per capita,Normal value,Units
2006/07-2011/12,-0.84,Percentage (%),Growth rates of household income per capita,Normal value,Units
2007/08-2012/13,-1.11,Percentage (%),Growth rates of household income per capita,Normal value,Units
2008/09-2013/14,-0.65,Percentage (%),Growth rates of household income per capita,Normal value,Units
2009/10-2014/15,-0.15,Percentage (%),Growth rates of household income per capita,Normal value,Units
2010/11-2015/16,0.26,Percentage (%),Growth rates of household income per capita,Normal value,Units
2011/12-2016/17,2.22,Percentage (%),Growth rates of household income per capita,Normal value,Units
2012/13-2017/18,2.4,Percentage (%),Growth rates of household income per capita,Normal value,Units
2002/03-2007/08,-0.2299999999999999,Percentage (%),Growth rates of household expenditure per capita,Normal value,Units
2003/04-2008/09,-0.8,Percentage (%),Growth rates of household expenditure per capita,Normal value,Units
2004/05-2009/10,-1.2,Percentage (%),Growth rates of household expenditure per capita,Normal value,Units
2005/06-2010/11,-0.8699999999999999,Percentage (%),Growth rates of household expenditure per capita,Normal value,Units
2006/07-2011/12,-2.15,Percentage (%),Growth rates of household expenditure per capita,Normal value,Units
2007/08-2012/13,-0.63,Percentage (%),Growth rates of household expenditure per capita,Normal value,Units
2008/09-2013/14,-0.5,Percentage (%),Growth rates of household expenditure per capita,Normal value,Units
2009/10-2014/15,0.45,Percentage (%),Growth rates of household expenditure per capita,Normal value,Units
2010/11-2015/16,-0.28,Percentage (%),Growth rates of household expenditure per capita,Normal value,Units
2011/12-2016/17,2.08,Percentage (%),Growth rates of household expenditure per capita,Normal value,Units
2012/13-2017/18,1.37,Percentage (%),Growth rates of household expenditure per capita,Normal value,Units
