Year,Value,GeoCode,Observation status,Unit multiplier,Unit measure
2009 to 2010,1.07177837361,,Undefined,Units,"Rate per 100,000 population"
2010 to 2011,1.1366023669340286,,Undefined,Units,"Rate per 100,000 population"
2011 to 2012,0.9346459917039042,,Undefined,Units,"Rate per 100,000 population"
2012 to 2013,0.9581388771036627,,Undefined,Units,"Rate per 100,000 population"
2013 to 2014,0.9113540651106112,,Undefined,Units,"Rate per 100,000 population"
2014 to 2015,0.8779164200575055,,Undefined,Units,"Rate per 100,000 population"
2015 to 2016,0.9346050619004826,,Undefined,Units,"Rate per 100,000 population"
2016 to 2017,1.1579066602876744,,Undefined,Units,"Rate per 100,000 population"
2017 to 2018,1.1881944202696435,,Undefined,Units,"Rate per 100,000 population"
2018 to 2019,1.09615348408748,,Undefined,Units,"Rate per 100,000 population"
2019 to 2020,1.1692494461627083,,Undefined,Units,"Rate per 100,000 population"
