Year,Value,Units,Observation status,Unit multiplier
2000,0.08987,Rate per 100 population,Estimated value,Units
2001,0.56008,Rate per 100 population,Estimated value,Units
2002,2.28534,Rate per 100 population,Estimated value,Units
2003,5.21997,Rate per 100 population,Estimated value,Units
2004,10.20722,Rate per 100 population,Estimated value,Units
2005,16.39291,Rate per 100 population,Estimated value,Units
2006,21.40166,Rate per 100 population,Estimated value,Units
2007,25.47474,Rate per 100 population,Estimated value,Units
2008,28.03599,Rate per 100 population,Estimated value,Units
2009,28.721490000000003,Rate per 100 population,Estimated value,Units
2010,30.51545,Rate per 100 population,Estimated value,Units
2011,32.532920000000004,Rate per 100 population,Estimated value,Units
2012,33.98543,Rate per 100 population,Estimated value,Units
2013,35.83045,Rate per 100 population,Estimated value,Units
2014,36.63504,Rate per 100 population,Estimated value,Units
2015,37.81272,Rate per 100 population,Estimated value,Units
2016,38.79909,Rate per 100 population,Estimated value,Units
2017,39.421040000000005,Rate per 100 population,Estimated value,Units
2018,40.02094,Rate per 100 population,Estimated value,Units
2019,40.29393,Rate per 100 population,Estimated value,Units
2020,40.787040000000005,Rate per 100 population,Estimated value,Units
2021,41.22814,Rate per 100 population,Estimated value,Units
2000,52890.0,Number,Normal value,Units
2001,330960.0,Number,Normal value,Units
2002,1356481.0,Number,Normal value,Units
2003,3113702.33,Number,Normal value,Units
2004,6123907.0,Number,Normal value,Units
2005,9898653.0,Number,Normal value,Units
2006,13013000.0,Number,Normal value,Units
2007,15606000.0,Number,Normal value,Units
2008,17310023.0,Number,Normal value,Units
2009,17877223.0,Number,Normal value,Units
2010,19151508.0,Number,Normal value,Units
2011,20588901.0,Number,Normal value,Units
2012,21685668.0,Number,Normal value,Units
2013,23039803.0,Number,Normal value,Units
2014,23729800.0,Number,Normal value,Units
2015,24663109.0,Number,Normal value,Units
2016,25473619.0,Number,Normal value,Units
2017,26043431.0,Number,Normal value,Units
2018,26587110.0,Number,Normal value,Units
2019,26907746.0,Number,Normal value,Units
2020,27351574.0,Number,Normal value,Units
2021,27738724.0,Number,Normal value,Units
