Year,Value,Units,GeoCode,Observation status,Unit multiplier,Unit measure
2013-2016,1.9062975945918907,1. Ratio of land consumption rate to population growth rate - UN indicator,,Undefined,Units,Ratio
2013-2016,0.0152233434628039,2. Land consumption rate,,Undefined,Units,Ratio
2013-2016,0.0079858168556641,3. Population growth rate,,Undefined,Units,Ratio
