Year,Value,Units,Series,Observation status,Unit multiplier
2008,2281.726932,Tonnes,Freight (thousand tonnes),Definition differs,Thousands
2009,2047.513524,Tonnes,Freight (thousand tonnes),Definition differs,Thousands
2010,2324.471423,Tonnes,Freight (thousand tonnes),Definition differs,Thousands
2011,2297.316193,Tonnes,Freight (thousand tonnes),Definition differs,Thousands
2012,2302.107922,Tonnes,Freight (thousand tonnes),Definition differs,Thousands
2013,2262.256617,Tonnes,Freight (thousand tonnes),Definition differs,Thousands
2014,2304.349653,Tonnes,Freight (thousand tonnes),Definition differs,Thousands
2015,2299.213004,Tonnes,Freight (thousand tonnes),Definition differs,Thousands
2016,2409.832211,Tonnes,Freight (thousand tonnes),Definition differs,Thousands
2017,2640.336523,Tonnes,Freight (thousand tonnes),Definition differs,Thousands
2018,2630.921151,Tonnes,Freight (thousand tonnes),Definition differs,Thousands
2019,2535.0948270000004,Tonnes,Freight (thousand tonnes),Definition differs,Thousands
2020,2001.9,Tonnes,Freight (thousand tonnes),Definition differs,Thousands
2021,2322.413469,Tonnes,Freight (thousand tonnes),Definition differs,Thousands
2008,234972.281,Number,Terminal passengers (thousands),Definition differs,Thousands
2009,217738.755,Number,Terminal passengers (thousands),Definition differs,Thousands
2010,210294.006,Number,Terminal passengers (thousands),Definition differs,Thousands
2011,218998.803,Number,Terminal passengers (thousands),Definition differs,Thousands
2012,220428.273,Number,Terminal passengers (thousands),Definition differs,Thousands
2013,228246.23,Number,Terminal passengers (thousands),Definition differs,Thousands
2014,238249.686,Number,Terminal passengers (thousands),Definition differs,Thousands
2015,251329.689,Number,Terminal passengers (thousands),Definition differs,Thousands
2016,268330.985,Number,Terminal passengers (thousands),Definition differs,Thousands
2017,284397.095,Number,Terminal passengers (thousands),Definition differs,Thousands
2018,292065.291,Number,Terminal passengers (thousands),Definition differs,Thousands
2019,296658.404,Number,Terminal passengers (thousands),Definition differs,Thousands
2020,73674.19200000001,Number,Terminal passengers (thousands),Definition differs,Thousands
2021,64257.731,Number,Terminal passengers (thousands),Definition differs,Thousands
