Year,Value,Units,Series,Observation status,Unit multiplier,Unit measure
2009,181.1478,GBP (£ Millions),(a) ODA for biodiversity,Undefined,Millions,GBP
2010,306.20804,GBP (£ Millions),(a) ODA for biodiversity,Undefined,Millions,GBP
2011,104.401,GBP (£ Millions),(a) ODA for biodiversity,Undefined,Millions,GBP
2012,4.33889,GBP (£ Millions),(a) ODA for biodiversity,Undefined,Millions,GBP
2013,4.03554,GBP (£ Millions),(a) ODA for biodiversity,Undefined,Millions,GBP
2014,6.76673,GBP (£ Millions),(a) ODA for biodiversity,Undefined,Millions,GBP
2015,25.72453,GBP (£ Millions),(a) ODA for biodiversity,Undefined,Millions,GBP
2016,11.74538,GBP (£ Millions),(a) ODA for biodiversity,Undefined,Millions,GBP
2017,13.871034533,GBP (£ Millions),(a) ODA for biodiversity,Undefined,Millions,GBP
2018,15.313322796,GBP (£ Millions),(a) ODA for biodiversity,Undefined,Millions,GBP
2019,32.6360090398,GBP (£ Millions),(a) ODA for biodiversity,Undefined,Millions,GBP
1994,9.0,GBP (£ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,GBP
1995,19.0,GBP (£ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,GBP
1996,22.0,GBP (£ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,GBP
1997,22.0,GBP (£ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,GBP
1998,21.0,GBP (£ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,GBP
1999,23.0,GBP (£ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,GBP
2000,17.0,GBP (£ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,GBP
2001,15.0,GBP (£ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,GBP
2002,229.0,GBP (£ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,GBP
2003,357.0,GBP (£ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,GBP
2004,347.0,GBP (£ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,GBP
2005,347.0,GBP (£ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,GBP
2006,341.0,GBP (£ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,GBP
2007,359.0,GBP (£ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,GBP
2008,354.0,GBP (£ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,GBP
2009,295.0,GBP (£ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,GBP
2010,310.0,GBP (£ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,GBP
2011,313.0,GBP (£ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,GBP
2012,285.0,GBP (£ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,GBP
2013,303.0,GBP (£ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,GBP
2014,363.0,GBP (£ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,GBP
2015,375.0,GBP (£ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,GBP
2016,426.0,GBP (£ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,GBP
2017,396.0,GBP (£ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,GBP
2018,387.0,GBP (£ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,GBP
2019,423.0,GBP (£ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,GBP
1994,13.774,USD ($ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,USD
1995,29.984,USD ($ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,USD
1996,34.324,USD ($ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,USD
1997,36.016,USD ($ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,USD
1998,34.778,USD ($ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,USD
1999,37.213,USD ($ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,USD
2000,25.721,USD ($ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,USD
2001,21.593,USD ($ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,USD
2002,343.214,USD ($ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,USD
2003,582.884,USD ($ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,USD
2004,635.322,USD ($ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,USD
2005,630.911,USD ($ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,USD
2006,627.43,USD ($ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,USD
2007,718.328,USD ($ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,USD
2008,650.776,USD ($ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,USD
2009,459.56,USD ($ Millions),(b) Tax revenue from biodiversity-relevant taxes,Undefined,Millions,USD
