Year,Value,Series,GeoCode,Observation status,Unit multiplier,Unit measure
2012/13,48.9,EYFSP pre-reform (2012/13-2020/21),,Normal value,Units,Percentage (%)
2013/14,58.0,EYFSP pre-reform (2012/13-2020/21),,Normal value,Units,Percentage (%)
2014/15,64.1,EYFSP pre-reform (2012/13-2020/21),,Normal value,Units,Percentage (%)
2015/16,67.3,EYFSP pre-reform (2012/13-2020/21),,Normal value,Units,Percentage (%)
2016/17,69.0,EYFSP pre-reform (2012/13-2020/21),,Normal value,Units,Percentage (%)
2017/18,70.2,EYFSP pre-reform (2012/13-2020/21),,Normal value,Units,Percentage (%)
2018/19,70.7,EYFSP pre-reform (2012/13-2020/21),,Normal value,Units,Percentage (%)
2021/22,63.4,EYFSP post-reform (2021/22 onwards),,Normal value,Units,Percentage (%)
