Year,Value,Units,Observation status,Unit multiplier
2015,213933.79809,GBP (£ thousands),Definition differs,Thousands
2016,129805.71026,GBP (£ thousands),Definition differs,Thousands
2017,53755.642843,GBP (£ thousands),Definition differs,Thousands
2018,104475.612431,GBP (£ thousands),Definition differs,Thousands
2019,106218.15708,GBP (£ thousands),Definition differs,Thousands
2020,95916.618249,GBP (£ thousands),Definition differs,Thousands
2015,285.729980729004,USD ($ millions),Definition differs,Millions
2016,173.368506623256,USD ($ millions),Definition differs,Millions
2017,71.7960365811108,USD ($ millions),Definition differs,Millions
2018,139.5376279628436,USD ($ millions),Definition differs,Millions
2019,141.86497059604798,USD ($ millions),Definition differs,Millions
2020,128.1062353333644,USD ($ millions),Definition differs,Millions
