Year,Value,GeoCode,Observation status,Unit multiplier,Unit measure
2008,3.2,,Undefined,Units,"Rate per 1,000 live births"
2009,3.1,,Undefined,Units,"Rate per 1,000 live births"
2010,3.0,,Undefined,Units,"Rate per 1,000 live births"
2011,2.9,,Undefined,Units,"Rate per 1,000 live births"
2012,2.8,,Undefined,Units,"Rate per 1,000 live births"
2013,2.7,,Undefined,Units,"Rate per 1,000 live births"
2014,2.6,,Undefined,Units,"Rate per 1,000 live births"
2015,2.6,,Undefined,Units,"Rate per 1,000 live births"
2016,2.7,,Undefined,Units,"Rate per 1,000 live births"
