Year,Value,Units,Series,Observation status,Unit multiplier
1993,0.968847615,Index,Red List Index,Estimated value,Units
1994,0.968330681,Index,Red List Index,Estimated value,Units
1995,0.967905896,Index,Red List Index,Estimated value,Units
1996,0.967290825,Index,Red List Index,Estimated value,Units
1997,0.96683131,Index,Red List Index,Estimated value,Units
1998,0.9664116,Index,Red List Index,Estimated value,Units
1999,0.965774399,Index,Red List Index,Estimated value,Units
2000,0.965103123,Index,Red List Index,Estimated value,Units
2001,0.964555752,Index,Red List Index,Estimated value,Units
2002,0.963896476,Index,Red List Index,Estimated value,Units
2003,0.963605513,Index,Red List Index,Estimated value,Units
2004,0.963220414,Index,Red List Index,Estimated value,Units
2005,0.963210647,Index,Red List Index,Estimated value,Units
2006,0.963184327,Index,Red List Index,Estimated value,Units
2007,0.963157078,Index,Red List Index,Estimated value,Units
2008,0.963275115,Index,Red List Index,Estimated value,Units
2009,0.963428469,Index,Red List Index,Estimated value,Units
2010,0.963550592,Index,Red List Index,Estimated value,Units
2011,0.963443053,Index,Red List Index,Estimated value,Units
2012,0.96315268,Index,Red List Index,Estimated value,Units
2013,0.962737118,Index,Red List Index,Estimated value,Units
2014,0.962405275,Index,Red List Index,Estimated value,Units
2015,0.962019462,Index,Red List Index,Estimated value,Units
2016,0.961885983,Index,Red List Index,Estimated value,Units
2017,0.961712862,Index,Red List Index,Estimated value,Units
2018,0.961678566,Index,Red List Index,Estimated value,Units
2019,0.961661409,Index,Red List Index,Estimated value,Units
2020,0.96174164,Index,Red List Index,Estimated value,Units
2021,0.96172418,Index,Red List Index,Estimated value,Units
