Year,Value,GeoCode,Observation status,Unit measure
2018,90.9,,Normal value,Percentage (%)
2019,89.9,,Normal value,Percentage (%)
2020,89.8,,Normal value,Percentage (%)
2021,86.1,,Normal value,Percentage (%)
2022,89.7,,Normal value,Percentage (%)
2023,91.4,,Normal value,Percentage (%)
