Year,Value,Observation status,Unit multiplier
2011,702.1999999999999,Undefined,100000
2012,785.7700000000001,Undefined,100000
2013,1215.72,Undefined,100000
2014,1460.87,Undefined,100000
2015,1914.99,Undefined,100000
2016,1416.4699999999998,Undefined,100000
2017,1161.48,Undefined,100000
2018,1558.1999999999998,Undefined,100000
