Year,Value,Units,GeoCode,Observation status,Unit multiplier
2008,110.586931,,,,
2009,128.5596965,,,,
2010,147.4817679,,,,
2011,195.642294,,,,
2012,245.6414034,,,,
2013,311.3746715,,,,
2014,385.7707972,,,,
2015,475.5897409,,,,
2016,543.0586171,,,,
2017,610.1213418,,,,
2018,666.78871,,,,
2019,706.063231,,,,
