Year,Value,Units,Series,Observation status,Unit multiplier
2009,73182.75,GBP (£ thousands),"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Normal value,Thousands
2010,101616.29,GBP (£ thousands),"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Normal value,Thousands
2011,109680.23,GBP (£ thousands),"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Normal value,Thousands
2012,107735.26,GBP (£ thousands),"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Normal value,Thousands
2013,139152.39,GBP (£ thousands),"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Normal value,Thousands
2014,180847.01,GBP (£ thousands),"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Normal value,Thousands
2015,185161.64,GBP (£ thousands),"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Normal value,Thousands
2016,170546.89,GBP (£ thousands),"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Normal value,Thousands
2017,177217.6682173,GBP (£ thousands),"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Normal value,Thousands
2018,208142.3739088,GBP (£ thousands),"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Normal value,Thousands
2019,177578.456861,GBP (£ thousands),"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Normal value,Thousands
2020,111093.7997945,GBP (£ thousands),"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Normal value,Thousands
2009,111560.00616516256,Constant USD ($ thousands),"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Normal value,Thousands
2010,152454.58970602314,Constant USD ($ thousands),"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Normal value,Thousands
2011,161219.9118640131,Constant USD ($ thousands),"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Normal value,Thousands
2012,155781.415640848,Constant USD ($ thousands),"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Normal value,Thousands
2013,197689.68031755672,Constant USD ($ thousands),"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Normal value,Thousands
2014,252551.5039002997,Constant USD ($ thousands),"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Normal value,Thousands
2015,256878.43375577973,Constant USD ($ thousands),"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Normal value,Thousands
2016,231620.38967412483,Constant USD ($ thousands),"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Normal value,Thousands
2017,236104.2334191097,Constant USD ($ thousands),"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Normal value,Thousands
2018,271203.6892394775,Constant USD ($ thousands),"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Normal value,Thousands
2019,226618.7555653395,Constant USD ($ thousands),"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Normal value,Thousands
2020,133844.51046694204,Constant USD ($ thousands),"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries",Normal value,Thousands
