Year,Value,Observation status,Unit multiplier,Unit measure
1990,806.2583102800191,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
1991,814.5722614341378,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
1992,793.0383954243886,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
1993,773.0709618985804,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
1994,761.7568798758939,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
1995,755.4367034586885,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
1996,775.1856888467769,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
1997,750.4664653566082,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
1998,748.2968698276289,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
1999,718.4759195626154,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2000,718.2359629414157,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2001,720.7963914944175,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2002,698.4867232890492,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2003,704.9441658672791,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2004,700.6207451428259,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2005,692.3341062202084,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2006,684.6170562192586,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2007,672.065323489816,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2008,650.5268626485811,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2009,594.3044804340451,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2010,608.576398805018,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2011,562.8291531093079,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2012,579.2778574522922,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2013,565.6222224225413,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2014,525.2353852520912,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2015,507.9111653882104,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2016,483.06288758192807,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2017,471.6460076284813,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2018,463.4632352251188,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2019,447.8774362216295,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2020,405.513569585469,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
