Year,Value,Units,Series,Observation status,Unit multiplier
1990,0.7302733093308266,Percentage (%),Renewable energy share in the total final energy consumption,Normal value,Units
1991,0.7064785029919407,Percentage (%),Renewable energy share in the total final energy consumption,Normal value,Units
1992,0.8058732990520167,Percentage (%),Renewable energy share in the total final energy consumption,Normal value,Units
1993,0.8047785346288164,Percentage (%),Renewable energy share in the total final energy consumption,Normal value,Units
1994,1.0956101916017666,Percentage (%),Renewable energy share in the total final energy consumption,Normal value,Units
1995,1.145153885467287,Percentage (%),Renewable energy share in the total final energy consumption,Normal value,Units
1996,1.0604292663686563,Percentage (%),Renewable energy share in the total final energy consumption,Normal value,Units
1997,1.0845004901227802,Percentage (%),Renewable energy share in the total final energy consumption,Normal value,Units
1998,1.2208760484622554,Percentage (%),Renewable energy share in the total final energy consumption,Normal value,Units
1999,1.2790924457157715,Percentage (%),Renewable energy share in the total final energy consumption,Normal value,Units
2000,1.2756161379149078,Percentage (%),Renewable energy share in the total final energy consumption,Normal value,Units
2001,1.293476842017824,Percentage (%),Renewable energy share in the total final energy consumption,Normal value,Units
2002,1.4593028002285902,Percentage (%),Renewable energy share in the total final energy consumption,Normal value,Units
2003,1.5329965203156313,Percentage (%),Renewable energy share in the total final energy consumption,Normal value,Units
2004,1.7681114066656238,Percentage (%),Renewable energy share in the total final energy consumption,Normal value,Units
2005,2.0127831352321146,Percentage (%),Renewable energy share in the total final energy consumption,Normal value,Units
2006,2.2089285054422576,Percentage (%),Renewable energy share in the total final energy consumption,Normal value,Units
2007,2.333909245694253,Percentage (%),Renewable energy share in the total final energy consumption,Normal value,Units
2008,2.7468931164040056,Percentage (%),Renewable energy share in the total final energy consumption,Normal value,Units
2009,3.286066137853598,Percentage (%),Renewable energy share in the total final energy consumption,Normal value,Units
2010,3.494395324375828,Percentage (%),Renewable energy share in the total final energy consumption,Normal value,Units
2011,4.134185781317182,Percentage (%),Renewable energy share in the total final energy consumption,Normal value,Units
2012,4.40761277064492,Percentage (%),Renewable energy share in the total final energy consumption,Normal value,Units
2013,5.256781472628531,Percentage (%),Renewable energy share in the total final energy consumption,Normal value,Units
2014,6.583736215981315,Percentage (%),Renewable energy share in the total final energy consumption,Normal value,Units
2015,7.882181611348379,Percentage (%),Renewable energy share in the total final energy consumption,Normal value,Units
2016,8.281379010288687,Percentage (%),Renewable energy share in the total final energy consumption,Normal value,Units
2017,9.456945451227488,Percentage (%),Renewable energy share in the total final energy consumption,Normal value,Units
2018,10.61652996845426,Percentage (%),Renewable energy share in the total final energy consumption,Normal value,Units
2019,11.88103896103896,Percentage (%),Renewable energy share in the total final energy consumption,Normal value,Units
2020,14.442955872024744,Percentage (%),Renewable energy share in the total final energy consumption,Normal value,Units
