Year,Value,Observation status,Unit multiplier,Unit measure
2016,9.81,Undefined,Units,Litres per capita
2015,9.82,Undefined,Units,Litres per capita
2014,9.69,Undefined,Units,Litres per capita
2013,9.65,Undefined,Units,Litres per capita
2012,9.76,Undefined,Units,Litres per capita
2011,10.02,Undefined,Units,Litres per capita
2010,10.22,Undefined,Units,Litres per capita
2009,10.14,Undefined,Units,Litres per capita
2008,10.78,Undefined,Units,Litres per capita
2007,11.14,Undefined,Units,Litres per capita
2006,10.96,Undefined,Units,Litres per capita
2005,11.37,Undefined,Units,Litres per capita
2004,11.55,Undefined,Units,Litres per capita
2003,11.25,Undefined,Units,Litres per capita
2002,11.31,Undefined,Units,Litres per capita
2001,11.29,Undefined,Units,Litres per capita
2000,10.82,Undefined,Units,Litres per capita
