Year,Value,Units,Series,Observation status,Unit multiplier
1972,3.99059804606,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1973,4.850336174373708,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1974,-2.7560591179098424,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1975,-1.1188917465654773,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1976,3.6245173970732014,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1977,2.3400708901604546,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1978,3.63065147282524,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1979,2.6722132861808428,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1980,-1.630724653455922,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1981,1.9743148567446152,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1982,4.010714810831798,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1983,4.96809442772044,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1984,0.0958980456826442,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1985,2.8237709077427757,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1986,2.5084608118542384,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1987,3.3337250088847816,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1988,2.361892075659369,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1989,-0.0260657707932078,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1990,0.2765135571436116,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1991,1.5770419218870089,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1992,2.84620130026036,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1993,3.45047583934942,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1994,3.027613478563741,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1995,1.2844385194743682,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1996,1.539771953657587,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1997,3.1311997934445936,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1998,2.666629419010574,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1999,1.8769549684474924,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2000,2.316211605937155,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2001,1.8850607311460912,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2002,1.3304863614806852,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2003,2.307737570680646,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2004,1.1784457270334594,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2005,1.8137222112166964,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2006,1.678774780549678,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2007,1.5243000204923276,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2008,-1.120172028122823,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2009,-2.561671391597633,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2010,1.822602606135613,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2011,0.7586086934673677,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2012,0.3407955452051804,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2013,1.0093068768945614,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2014,0.4846509828818133,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2015,0.6256621452245271,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2016,0.2515386287561081,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2017,0.7469315019379785,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2018,0.0602453403192769,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2019,0.1494726734437772,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
