Year,Value,Series,Observation status,Unit multiplier,Unit measure
2020,0.413,Extent to which global citizenship education and education for sustainable development are mainstreamed in national education policies,Normal value,Units,Index
2020,0.586,Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula,Normal value,Units,Index
2020,0.833,Extent to which global citizenship education and education for sustainable development are mainstreamed in student assessment,Normal value,Units,Index
