Year,Value,Observation status,Unit multiplier,Unit measure
2017 Q3,30,Undefined,Units,Number of offences
2017 Q4,30,Undefined,Units,Number of offences
2018 Q1,36,Undefined,Units,Number of offences
2018 Q2,42,Undefined,Units,Number of offences
2018 Q3,40,Undefined,Units,Number of offences
2018 Q4,33,Undefined,Units,Number of offences
2019 Q1,22,Undefined,Units,Number of offences
2019 Q2,41,Undefined,Units,Number of offences
2019 Q3,22,Undefined,Units,Number of offences
2019 Q4,21,Undefined,Units,Number of offences
2020 Q1,36,Undefined,Units,Number of offences
2020 Q2,24,Undefined,Units,Number of offences
2020 Q3,28,Undefined,Units,Number of offences
2020 Q4,42,Undefined,Units,Number of offences
2021 Q1,32,Undefined,Units,Number of offences
2021 Q2,37,Undefined,Units,Number of offences
