Year,Value,Observation status,Unit multiplier,Unit measure
2013,569,Undefined,Units,Number
2014,512,Undefined,Units,Number
2015,854,Undefined,Units,Number
2016,689,Undefined,Units,Number
2017,1076,Undefined,Units,Number
2018,804,Undefined,Units,Number
