Year,Value,Units,Series,Observation status,Unit multiplier
1950,0.0,Percentage (%),Proportion of marine protected area,Normal value,Unit
1951,0.01,Percentage (%),Proportion of marine protected area,Normal value,Unit
1952,0.02,Percentage (%),Proportion of marine protected area,Normal value,Unit
1953,0.03,Percentage (%),Proportion of marine protected area,Normal value,Unit
1954,0.04,Percentage (%),Proportion of marine protected area,Normal value,Unit
1955,0.05,Percentage (%),Proportion of marine protected area,Normal value,Unit
1956,0.08,Percentage (%),Proportion of marine protected area,Normal value,Unit
1957,0.09,Percentage (%),Proportion of marine protected area,Normal value,Unit
1958,0.09,Percentage (%),Proportion of marine protected area,Normal value,Unit
1959,0.09,Percentage (%),Proportion of marine protected area,Normal value,Unit
1960,0.09,Percentage (%),Proportion of marine protected area,Normal value,Unit
1961,0.09,Percentage (%),Proportion of marine protected area,Normal value,Unit
1962,0.09,Percentage (%),Proportion of marine protected area,Normal value,Unit
1963,0.09,Percentage (%),Proportion of marine protected area,Normal value,Unit
1964,0.1,Percentage (%),Proportion of marine protected area,Normal value,Unit
1965,0.1,Percentage (%),Proportion of marine protected area,Normal value,Unit
1966,0.12,Percentage (%),Proportion of marine protected area,Normal value,Unit
1967,0.12,Percentage (%),Proportion of marine protected area,Normal value,Unit
1968,0.13,Percentage (%),Proportion of marine protected area,Normal value,Unit
1969,0.13,Percentage (%),Proportion of marine protected area,Normal value,Unit
1970,0.13,Percentage (%),Proportion of marine protected area,Normal value,Unit
1971,0.13,Percentage (%),Proportion of marine protected area,Normal value,Unit
1972,0.21,Percentage (%),Proportion of marine protected area,Normal value,Unit
1973,0.22,Percentage (%),Proportion of marine protected area,Normal value,Unit
1974,0.23,Percentage (%),Proportion of marine protected area,Normal value,Unit
1975,0.23,Percentage (%),Proportion of marine protected area,Normal value,Unit
1976,0.25,Percentage (%),Proportion of marine protected area,Normal value,Unit
1977,0.25,Percentage (%),Proportion of marine protected area,Normal value,Unit
1978,0.25,Percentage (%),Proportion of marine protected area,Normal value,Unit
