Year,Value,GeoCode,Observation status,Unit multiplier,Unit measure
2012,0.384630854713,,Undefined,Units,Percentage (%)
2013,0.403320462838702,,Undefined,Units,Percentage (%)
2014,0.39323805453706,,Undefined,Units,Percentage (%)
2015,0.387003110305845,,Undefined,Units,Percentage (%)
2016,0.407996366042885,,Undefined,Units,Percentage (%)
2017,0.368558153786145,,Undefined,Units,Percentage (%)
2018,0.40561330377834,,Undefined,Units,Percentage (%)
2019,0.378889840204496,,Undefined,Units,Percentage (%)
2020,0.292398980701723,,Undefined,Units,Percentage (%)
