Year,Value,GeoCode,Observation status,Unit multiplier
2004 to 05,8.650739326,,Undefined,Units
2005 to 06,9.225465239,,Undefined,Units
2006 to 07,8.697371257,,Undefined,Units
2008 to 09,6.987348134,,Undefined,Units
2009 to 10,7.364374097,,Undefined,Units
2010 to 11,7.408327936,,Undefined,Units
2011 to 12,6.88364895,,Undefined,Units
2012 to 13,6.658768428,,Undefined,Units
2013 to 14,6.793446766,,Undefined,Units
2014 to 15,6.475845062,,Undefined,Units
2015 to 16,6.2308803,,Undefined,Units
2016 to 17,5.946623112,,Undefined,Units
2017 to 18,6.256431824,,Undefined,Units
2018 to 19,6.375420398669647,,Undefined,Units
