Year,Value,GeoCode,Observation status,Unit multiplier,Unit measure
2013,12.8944087630956,,Normal value,Units,percentage (%)
2014,12.9356049572269,,Normal value,Units,percentage (%)
2015,12.9768011513582,,Normal value,Units,percentage (%)
2016,13.0179973454894,,Normal value,Units,percentage (%)
2017,13.0179973454894,,Normal value,Units,percentage (%)
2018,13.0591935396207,,Normal value,Units,percentage (%)
2019,13.1827821220146,,Normal value,Units,percentage (%)
2020,13.2651745102772,,Normal value,Units,percentage (%)
2021,13.2651745102772,,Normal value,Units,percentage (%)
2022,13.3475668985398,,Normal value,Units,percentage (%)
