Year,Value,Series,Observation status,Unit multiplier,Unit measure
1990,5.3,Energy intensity level of primary energy,Normal value,Units,Terajoules per million pounds (TJ/Â£ million)
1991,5.4,Energy intensity level of primary energy,Normal value,Units,Terajoules per million pounds (TJ/Â£ million)
1992,5.3,Energy intensity level of primary energy,Normal value,Units,Terajoules per million pounds (TJ/Â£ million)
1993,5.2,Energy intensity level of primary energy,Normal value,Units,Terajoules per million pounds (TJ/Â£ million)
1994,5.09999999999999,Energy intensity level of primary energy,Normal value,Units,Terajoules per million pounds (TJ/Â£ million)
1995,5.0,Energy intensity level of primary energy,Normal value,Units,Terajoules per million pounds (TJ/Â£ million)
1996,5.09999999999999,Energy intensity level of primary energy,Normal value,Units,Terajoules per million pounds (TJ/Â£ million)
1997,5.09999999999999,Energy intensity level of primary energy,Normal value,Units,Terajoules per million pounds (TJ/Â£ million)
1998,5.0,Energy intensity level of primary energy,Normal value,Units,Terajoules per million pounds (TJ/Â£ million)
1999,4.9,Energy intensity level of primary energy,Normal value,Units,Terajoules per million pounds (TJ/Â£ million)
2000,4.7,Energy intensity level of primary energy,Normal value,Units,Terajoules per million pounds (TJ/Â£ million)
2001,4.7,Energy intensity level of primary energy,Normal value,Units,Terajoules per million pounds (TJ/Â£ million)
2002,4.4,Energy intensity level of primary energy,Normal value,Units,Terajoules per million pounds (TJ/Â£ million)
2003,4.3,Energy intensity level of primary energy,Normal value,Units,Terajoules per million pounds (TJ/Â£ million)
2004,4.2,Energy intensity level of primary energy,Normal value,Units,Terajoules per million pounds (TJ/Â£ million)
2005,4.09999999999999,Energy intensity level of primary energy,Normal value,Units,Terajoules per million pounds (TJ/Â£ million)
2006,3.9,Energy intensity level of primary energy,Normal value,Units,Terajoules per million pounds (TJ/Â£ million)
2007,3.7,Energy intensity level of primary energy,Normal value,Units,Terajoules per million pounds (TJ/Â£ million)
2008,3.7,Energy intensity level of primary energy,Normal value,Units,Terajoules per million pounds (TJ/Â£ million)
2009,3.5,Energy intensity level of primary energy,Normal value,Units,Terajoules per million pounds (TJ/Â£ million)
2010,3.5,Energy intensity level of primary energy,Normal value,Units,Terajoules per million pounds (TJ/Â£ million)
2011,3.4,Energy intensity level of primary energy,Normal value,Units,Terajoules per million pounds (TJ/Â£ million)
2012,3.3,Energy intensity level of primary energy,Normal value,Units,Terajoules per million pounds (TJ/Â£ million)
2013,3.2,Energy intensity level of primary energy,Normal value,Units,Terajoules per million pounds (TJ/Â£ million)
2014,3.0,Energy intensity level of primary energy,Normal value,Units,Terajoules per million pounds (TJ/Â£ million)
2015,2.9,Energy intensity level of primary energy,Normal value,Units,Terajoules per million pounds (TJ/Â£ million)
2016,2.8,Energy intensity level of primary energy,Normal value,Units,Terajoules per million pounds (TJ/Â£ million)
2017,2.7,Energy intensity level of primary energy,Normal value,Units,Terajoules per million pounds (TJ/Â£ million)
2018,2.6,Energy intensity level of primary energy,Normal value,Units,Terajoules per million pounds (TJ/Â£ million)
2019,2.5,Energy intensity level of primary energy,Normal value,Units,Terajoules per million pounds (TJ/Â£ million)
2020,2.4,Energy intensity level of primary energy,Normal value,Units,Terajoules per million pounds (TJ/Â£ million)
2021,2.29999999999999,Energy intensity level of primary energy,Normal value,Units,Terajoules per million pounds (TJ/Â£ million)
