Year,Value,Units,Observation status,Unit multiplier
2001/2002,18.7,Gini coefficient,Normal value,Units
2002/2003,19.300000000000004,Gini coefficient,Normal value,Units
2003/2004,19.6,Gini coefficient,Normal value,Units
2004/2005,20.1,Gini coefficient,Normal value,Units
2005/2006,20.4,Gini coefficient,Normal value,Units
2006/2007,19.9,Gini coefficient,Normal value,Units
2007/2008,19.700000000000003,Gini coefficient,Normal value,Units
2008/2009,20.9,Gini coefficient,Normal value,Units
2009/2010,22.0,Gini coefficient,Normal value,Units
2010/2011,21.7,Gini coefficient,Normal value,Units
2011/2012,22.300000000000004,Gini coefficient,Normal value,Units
2012/2013,22.2,Gini coefficient,Normal value,Units
2013/2014,21.1,Gini coefficient,Normal value,Units
2014/2015,20.7,Gini coefficient,Normal value,Units
2015/2016,20.5,Gini coefficient,Normal value,Units
2016/2017,21.0,Gini coefficient,Normal value,Units
2017/2018,20.7,Gini coefficient,Normal value,Units
2018/2019,19.7,Gini coefficient,Normal value,Units
2019/2020,18.8,Gini coefficient,Normal value,Units
2020/2021,19.3,Gini coefficient,Normal value,Units
2021/2022,20.3,Gini coefficient,Normal value,Units
