Year,Value,Series,GeoCode,Observation status,Unit multiplier,Unit measure
2000,0.0,Rabies,K02000001,Undefined,Units,Number
2001,2.0,Rabies,K02000001,Undefined,Units,Number
2002,1.0,Rabies,K02000001,Undefined,Units,Number
2003,0.0,Rabies,K02000001,Undefined,Units,Number
2004,0.0,Rabies,K02000001,Undefined,Units,Number
2005,1.0,Rabies,K02000001,Undefined,Units,Number
2006,0.0,Rabies,K02000001,Undefined,Units,Number
2007,0.0,Rabies,K02000001,Undefined,Units,Number
2008,1.0,Rabies,K02000001,Undefined,Units,Number
2009,0.0,Rabies,K02000001,Undefined,Units,Number
2010,0.0,Rabies,K02000001,Undefined,Units,Number
2011,0.0,Rabies,K02000001,Undefined,Units,Number
2012,1.0,Rabies,K02000001,Undefined,Units,Number
2013,0.0,Rabies,K02000001,Undefined,Units,Number
2014,0.0,Rabies,K02000001,Undefined,Units,Number
2015,0.0,Rabies,K02000001,Undefined,Units,Number
2016,0.0,Rabies,K02000001,Undefined,Units,Number
2017,0.0,Rabies,K02000001,Undefined,Units,Number
